参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
考試無share screen 10分鐘會點,邊有人理你條片,每分鍾扣5%,死,1,3,,,,,
Psycho Intern推薦,Lm wanna know more,pushh,,,,2,2,,,
每次去餐廳叫凍齋啡都有新驚喜,📷,話說今日去食野，我叫左杯凍齋啡走甜，個侍應話齋啡梗係走甜啦，齋啡係咩都唔落架嘛，個語氣好似我唔識野咁，但我想講，我起碼飲過至少3間嘅齋啡係甜到好似糖水咁，所以都嬲嬲地然後佢最後上左杯有奶嘅咖啡俾我大佬啊，你地可唔可以有共識啲啊，一係就淨走奶，一係淨走甜，每次都係蒒丁格的咖啡咁款，次次上完先知今次漏左乜無走，但啲客叫凍齋啡走甜走奶又好似覺得人地串你，當你on9咁，係要懶醒加句齋啡本身就走乜走乜架啦，係啊，我夠知囉，咁就唔該你地唔好亂咁serve啦我要奶唔甜，我會叫凍啡走甜，我要甜唔要奶，會叫凍啡走奶，咁唔該當人地叫凍齋啡個時，你就自動波全走啦唔該，我真係叫錯想飲甜咪自己加囉，有時叫齋啡仲要提你走甜走奶，我都覺得好似侮辱緊你咁，好似同提你出街要着褲咁唔該，俾少少共識啦plz,,,,2,2,,,
biol 1309 入,Pm🙏🏻,pm,洗唔洗見discipline?,19,52,,,,,
__,Is that still applicable in uni?😅,呢招攬腰啱啲,我試過-話睇下你啲指甲-去沙灘嗰陣時伸隻手出嚟叫佢一齊行入水入面-捉住佢唔畀佢掂一啲野,33,35,,,點樣自然地拖女仔手😭,,
遲交exam sheet,Scan就少尷尬,問左，但係未覆。最難挨就係呢段時間，考完到依家都心掛掛,Scan嘅,1,6,,,,,
幾時出grade?,Ok thanks,Mid - Late June,Fm想問fbe今年幾號出gpa,1,3,,,,,
Econ1280 Final exam past paper,Can u click the button on the top right in our chat box since the chatroom has expired,Pmed,Need final exam pp,1,8,,,,,
Fina2382 final,大家做唔做得哂,,,,,,,,1,1
__,Yu Hin,知唔知有邊個女神會去annual dinner?,想同omate一齊去🤭,29,86,,,一人一個精算女神,,
男人永遠唔好同女人鬧交,香港地思想保守，以致性教育內容貧乏，係我地成長嘅環境入面，我地對異性理解完全不足，搞到長大後要浪費極多時間去自己領悟，其中一項最大嘅問題，係當年性教育只講男女生理上有咩唔同。但事實係，除咗咩第一第二性徵，男女係腦部結構都有非常明顯嘅分別，呢個分別，基本上由我八歲影響到我八十歲，咁重要竟然冇人話我知，真係有冇搞錯，但客官你好彩，今日我塞錢入你袋。男女係腦部結構最大嘅分別，就係大部份（非所有）女性都缺乏邏輯分析嘅能力。呢一點分歧非常重要，甚至可以話係形成男女好多行為分別嘅源頭，例如男人會比較鍾意機械、高科技，女人鍾意靚嘅嘢，男人比女人有方向感，揸車亦都會穩陣好多等等等等。你可能話呢個講點冇乜證據Support，嗱你問得呢樣嘢你應該係男人啦，好，我俾個簡單例證你，如果係女人睇呢篇嘢，佢望到「大部份女性都缺乏邏輯分析嘅能力」應該已經燥燥地，但如果我改做「男人係理性動物，女人係感性動物」佢地條氣又會順好多，仲可能會點頭稱是，兩句嘢指涉嘅內容根本就一樣，但睇前句會燥後句又唔會，點解？因為佢地唔係睇緊個內容，佢地係睇緊個語氣、態度。我話女性缺少邏輯分析嘅能力，唔係話女性無邏輯，女性係有基本嘅邏輯，基本上就係理解到現實常識性嘅運作，例如太陽會係東邊升起，西邊落山。但當講到去面對一個問題時，男女嘅分別就會好出事，男人有種病態，就係見到一個問題佢要拆開做好多細問題，然後嘗試搵到個原因出嚟，譬如你細個老母叫你唔好食完飯跳跳跳，你一定會問點解，而你老母就會話你跳完會生盲腸炎，咁件事係咪就咁了結？梗係唔係啦，你之後就開始問你老母：點解食完飯跳會盲腸炎？點跳先會有點跳先會冇？食麵會唔會有盲腸炎？？咁食雪糕呢…………………X2046至於女人，佢地會唔會咁樣去諗一個問題呢？多數唔會，佢地甚至會對呢種拆解、問完又問感到燥底，你自己諗下，係你成長環境入面，你老母、你老師、你同學、你同事、你老闆，只要佢係女人，有邊個會好冷靜咁同你理性討論？你試下同佢地爭論時講邏輯呀，你老母佢唔發哂脾氣小爆你？！所以，當一男一女去拗一件事其實好戇鳩，嗱，每個人都覺得自己係啱架啦，主動認錯？孔融讓梨好唔好呀？問題係男人會列舉佢覺得自己啱嘅理由，但女人唔會，男人Expect佢列舉完對方會做相對嘅事情，然後大家比較下邊個啱啲囉，點知對方（女人）一見你講咁多嘢，第一下就燥咗，跟住直接無視你講過啲咩。男女嗌交係世上最浪費時間嘅活動，因為根本解決唔到問題，最終兩邊都只會發哂脾氣收場，咁有冇解決辦法呀？梗係有啦，以後男人同女人講嘢唔好講邏輯囉，兩邊都好九唔搭八咁囉，你做到你就羸架啦。最後最後，容許我戴返個頭盔，我講嘅係指一般情況而言，並不適用於所有情況，如果你睇完仲同我講「唔係囉！好多女人都好有邏輯囉唔該！」，我必須要澄清一點，就係呢個世界上有無Jer嘅男人，但並唔會動搖到絕大部份男人有Jer呢個事實，算啦呢啲邏輯嘢你唔明架啦。,,,,,,,,1,1
__,真,IssacYeung,Bosco,67,86,,,精算有咩靚仔靚女?,,
安心出行張針卡消失左,你係咪手機自動link咗街邊d wifi？我試過一link就紅碼，之後disconnect個wifi就冇十弓,去到餐廳門口要嘟入去時出紅碼？！跟住就發現嗰app無左張針卡。我無更新嗰app喎，jm9,,,,1,2,,,
隔左10個月 交友app見返你….,應該係男,樓主男定女?,完全冇諗過會見返你啲相…冇諗過自己一直一直都放唔抵連1%都冇果種成日同自己講 佢唔識珍惜你係佢損失好有可能我係佢一生中最最最愛佢嘅人佢唔要我係佢走寶但我真係接受唔到交友app我都係好loss咁玩完全唔想識人 逼緊自己同人交流有match都係傾兩句就quit 好似逃避緊咁心真係好痛 好痛呀而加真係好想死左佢算10個月嚟每日過馬路都會諗直接衝出去算呢一刻嘅想法特別強烈我啲生存支柱差唔多斷曬FF 佢會返嚟我身邊嘅最後希望都冇埋感覺我都冇咩好留戀試過好多方法都忘記唔到你無力感好重 剩底一個方法未試..我真係盡左我最大最大努力去愛你盡曬力結果都係咁坦白講我真係接受唔到我係抗壓性低嘅垃圾好掛住你呀,1,3,,,,,
Past USC FBE exchange student,"going in sem2, wanna ask some questions from past usc exchange students",,,,,,,,1,1
Dklm點解online exam要印notes,Dklm engine faculty正垃圾,,,,,,,,2,1
有咩拉丁舞班推介🥰最好近campus,btw 你哋知唔知佢哋收几多錢呀,Okk 唔該你哋🥰,識貨喎~ 佢地幾有熱誠同埋都好pro 全部賽手出身所以應該教得好利申 行內人 係佢地身邊賽左十幾年,2,12,,,,,
同男朋友鬧交，佢話我係雞...,真 冇片冇真相,冇片 唔信,句,3,34,,,,,
啱啱食早餐 個待應逼我食煎蛋,我話轉炒蛋佢話落雨唔畀WTF,,,,,,,,2,1
揾人代考Civl3108😪,求代考civl3108,,,,,,,,1,1
__,"3317, 3271",年年都爆quota final yr都 disapprove,,,,3,31,Good COMP electives,,
點解智華咁多人肉cctv,唔係特定一個 係好多個 應該係普通八卦kam撚,你含 我玩佢菊花？,有冇相？,2,18,,,,,
__,Hv a solution,have 2 pp but no solution,anyone selling ACCT1101 final pp & A+ solution? 🥺🙏🏻,1,3,,,ACCT1101 want source,,
"認真討論,有男朋友嘅女女點樣溝",sense到都唔接受你擺到明唔鍾意你啦傻仔,"鍾意咗呢個女仔都幾年啱啱識果陣佢未拍拖,曖昧過一排期間有暗示過鍾意佢佢果時可能都sense到掛之後知道佢拍拖,就唯有迫自己收埋對佢嘅感覺對佢扮冷淡,說服自己同佢做到普通朋友都心滿意足呢一兩年都冇見過佢,最多tg傾下閒計上星期約到佢出嚟食飯,發現自己都仲係鍾意佢宜家一諗起佢每日都同個fuckboy扑野就好難受究竟有仔嘅女女要點樣先溝到？",,,,1,2,,,
screen recording会看吗,氣到不能吃米線,大陸妹子多水嗎,Local好少睇,3,19,,,,,
"已經帶條女食Omakase, 但佢都係發哂皮氣",大家唔好認真左 佢擺到明派膠,人蠢冇藥醫,冇問題啊，試吓搵下一條女再請佢食囉,1,10,,,,,
有冇人試過business trans去社工？,year 2,pm,lm,3,7,,,,,
GEOG1016 exam 好難,Pm pls,A-,,,,8,35,,,
☠,Easy,D range幾多,第一題差唔多M1 prob,1,9,,,STAT2901 Final 賽後討論,,
讀law讀到想死￼,😿,"只會一年比一年辛苦 去到yr 3就拼命搵vac scheme, 搵唔到嘅話yr 4 仲要追gpa搵TC, 上到PCLL仲更多野讀更多考試 大家加油啦 頂住啊",邊有咁多時間,12,58,,,,,
☺️,Still have?,pm,Click fire circle,1,13,,,FINA 2382 Study Group,,
Soci 1001 essay 代打,can you pm me?,hello wanna the A grade soci1001 examination for reference  Please let me know that your examination topic and leave your telegram name 😊,有意請pm 利申讀過拎A,1,3,,,,,
（是咁的）今日去左間餐廳,哦,今朝諗住去食個早餐去到餐廳都成11點26-7分知早餐去到1130所以即刻落單點知落單阿姐話已經無早餐得返全日常餐但其實一9樣野黎但貴成10蚊嬲得濟即刻起身走,,,,1,2,,,
你身邊有冇精神病人？,笑面迎人唔係咁易，你體驗下就知,抑鬱症其實情緒起伏好大，大部分心情差既時候會匿埋，所以一般黎講你只會見到佢開心既一面,定係你覺得你比個醫生更有能力判斷一個人有冇精神病,2,10,,,,,
有冇中史達人可以指點下essay點拎A range🥲,想知佢話下限5000 大家平時會寫幾多,最重要格式註腳做足，新意如果有當然好，但冇其實本科程度啲老師睇重啲基本功，至於你成績最後點，就好睇你嘅表現係班入面排咩位置。,,,,1,14,,,
Any Soci 1001 A range source?,hello wanna the A grade soci1001 examination for reference  Please let me know that your examination topic and leave your telegram name 😊please direct click the envelope since I used all the quota,okk,A+ source pm :),1,3,,,,,
SOCI 1001 賽後討論,hello wanna the A grade soci1001 examination for reference  Please let me know that your examination topic and leave your telegram name 😊,8 10,5 9,2,12,,,,,
soci 1001好grade?,hello wanna the A grade soci1001 examination for reference  Please let me know that your examination topic and leave your telegram name 😊,我覺得比grade算好啦，我感覺exam做得好差 最後turn out都有B 都算係咁,好grade 係易攞a range,6,13,,,,,
Soci 1001 Exam format,hello wanna the A grade soci1001 examination for reference  Please let me know that your examination topic and leave your telegram name 😊,Did the lecturer said how many mcs at there? >~<,Have mc this yr,2,7,,,,,
BA CAES邊個好grade啲？,Who?,9204好撚垃圾 老師閪又爛grade 狗也不屌,想問9205,3,15,,,,,
今日見到個港女喺地鐵車箱入面飲咖啡,關你西事,喺埋要俾個like 你？,無聊,3,9,,,,,
點解想有男人錫係咁難,我屬於前者 。。。,我都係咁啊 其實要求高有咩問題呢 唔好勉強自己 同埋如果你太靚太優秀 好多缺乏自信心既男人唔敢追你,Laughed,1,8,,,,,
有冇人收過warning letter (dishonest,First time cheat/plag—-warning,Suggest u explain more,,,,1,2,,,
Santis Chan 又回歸舞台￼！？,Lol,Push,Grad la santis,1,3,,,,,
有冇人讀cchu9070？,可唔可以share你地組嘅youtube link出嚟？😢,,,,,,,,6,1
GEOG1034 good?,if only notes,hi interested how much?,GEOG1016 A-range notes✨includes:- complete notes for all chapters- reading notes - exam script (2 essays)- term paper,2,7,,,,,
LGBT HKU,Come to qsa events and discover the chaotic queer world in hku,So do in girl-only,Those who living in boy-only halls are gay,1,4,,,,,
☠,唔想溫書,完全冇心機聽佢講書,Here,5,14,,,Geog1016有無人無上過堂,,
Year1揾intern,"oh shit. I won’t go now. Real fake wor, “Venture Firm”. Thank you a lot for telling me the fact",Can go comment in 公海,I opened a po in goop u life,14,96,,,,,
今日去interview見到個大學生唔知咩叫Surename,Surename sls,Jm 成日有人copy 連登post 🤡,Plot twist: 果位考生正正就係樓豬,1,9,,,,,
嗌Deliveroo 點知個車手原來係鬼嚟,個app顯示外賣到咗 打去餐廳問 點知話個車手一路無過嚟送外賣 仲好意思叫我比貼士 嬲到我以後都唔想食嘢了,咪撚再copy lihkg d post 過黎,個app顯示外賣到咗 打去餐廳問 點知話個車手一路無過嚟送外賣 仲好意思叫我比貼士 嬲到我以後都唔想食嘢了,1,3,,,,,
Unsatisfactory performance,🙏🏼,Sure,Can pm?,1,8,,,,,
PSYC Essay代寫 代做Quiz,@wantsourcesthx,or leave your telegram?,The chat is expired,2,38,,,,,
Econ1210 gun,aim 60%,,,,,,,,1,1
Engine代考🙇🏻‍♀️,隨便😂,已通報校方,你冇人生梗係怕浪費🤷🏻‍♂️,1,100,,,,,
Want acct1101 2122 sem 1 final,21/22 sem 1 final,,,,,,,,1,4
2223 Glasgow Sem 1 Exchange,"Hi, can tg me: pchm0225",Pm,Can tg me: pchm0225,1,5,,,,,
CAES 1000 A+ source sales,Pm,"Sure, pls click fire",PM plz!!,4,52,,,,,
__,lol,On99,$5@1,1,4,,,chegg代查solution,,
收CIVL2113 source,Pm,買過上面嗰位2112 2113 2112過時 lab report唔啱 tut ans有份錯咗file 同埋差咗兩三份ans 因為改咗syllabus2113 得份design proj有價值(maybe) 係autocad file,Hey what is your Tg now? 🙏,1,6,,,,,
徵收 ECON2210 past final exam pp,高價,如題，最好 with solutions if any,,,,1,2,,,
求靚grade free electives推薦,Ling1000,1001 A-咗 個人覺得內容好悶,GCIN all,2,5,,,,,
岩岩正大光明係老母面前倒左碗湯,假膠,潮文嚟,正一死仔包！到時你阿媽唔係度睇下有冇人捧碗湯你飲！你阿媽咁關心你你又有冇為你阿媽做過d咩野？打緊機唔得閒咪用過另一個方法好聲好氣講lo洗咩咁做！你咁叻搬出去住啦未冇人煩你lo如果你有錢！！！巴Q閉,1,13,,,,,
收CHEM2441/2341/2241/1043source,主要想收past paper答案,,,,,,,,1,1
Anyone aalto exchange 22-23?,Me😀,,,,,,,,1,1
CCCH9054 Summer,wl點？,靚 上年sum sem讀 攞A,push,2,7,,,,,
chegg 代查answer 1蚊1題,Pm,pm,pm,1,8,,,,,
comp3322 assignment 2請槍,Pm sor,Pm got a for it,How many,1,9,,,,,
Ccst9020 A range source,Pm,Push,Course: sustainable development of the built environmentPlease telegram @mushashaa for proofs and further details.,1,3,,,,,
ENVS2002一問,高價收,有冇人有今個sem嘅source,no,1,4,,,,,
BSTC1003 portfolio,B+ only…,Rev 改，但係得B.. 係咪個個都A range,係咪全部都Rev改?,2,36,,,,,
☠,pm,Pm,又econ,2,21,,,Econ 1210 help !!,,
有冇sem1 KCL exchange?,Hi kcl sem 1!,,,,,,,,2,5
買 FINA2320 A grade source,"Have fina2320 textbook, past paper with answer, feel free to pm",Pm,pm,2,18,,,,,
收econ1280 source yuping,Pm,Want one,Pm,1,10,,,,,
Stat 請槍,pm,可pm,,,,6,35,,,
放Engine/civil source 有意pm,有意pm,,,,,,,,2,1
FINA1310 final,Pm pls,pm,pm🙇‍♀️,4,119,,,,,
Starr有條仔晚晚都唱歌唱到好撚大聲,ryanlee,把聲冇咁高,又好似唔似係佢，個條撚屌係鳩叫多過真唱,2,12,,,,,
Ccst9047 quiz1 分數,Where can I see the mean,But some questions are not marked on the annotated pdf downloaded in grade,click grade,2,28,,,,,
遲左交essay,佢最多咪係唔睇你最新交嘅嗰份,咁理論上你都冇遲交,睇prof啦我諗無野掛,2,5,,,,,
遲左reg olex會點,我琴日先reg,Email 問,"email話要register on or before 23apr, 但係我24Apr 先reg",1,3,,,,,
放FINA1310 source,Lol,pm plzz,Hi,1,14,,,,,
覺唔覺得hku有外星人？,外星人喺邊 外星人喺邊 見到外星人 我就要射落佢塊面,呢班K隆星人、小馬星人全部都系蜥蜴人ge手下，系要黎摧毀藍星文明、奴役我地藍星人。大家唔好信陰險惡毒ge蜥蜴人爪牙啊！！！,彩虹小馬快d躝屍趷路啦！藍星人一d都唔歡迎你地啊！,4,25,,,,,
SCNC1111 大神求救🙏🏼,當年group project撞正freerider，中學數底ok，有溫考試（非chur），最後b range,Not necessarily,但我諗我GP 得25分左右..,2,16,,,,,
出stat1602 pp,push,Pm,pm,1,8,,,,,
讀過Biol1309嘅大神入一入嚟拯救世人,pm,呢個好易,biol嘅course好grade？,6,7,,,,,
stat1602 exam,Pm,up,pm,1,6,,,,,
收econ2264 pp,收econ2264 pp,,,,,,,,2,1
anyone got chiron group面試？,琴日做完份test未有,,,,,,,,1,1
求bioc3604 2020 2021 pp,有償！！,,,,,,,,1,1
Bioc2600定係biol2220 好d？,要fail都幾難,咁你都幾有問題,上個sem 2600 fail撚咗😵‍💫,1,9,,,,,
Wt happens found cheating,你又知我識轉彎,Confession,自首啦，可能有彎轉,1,8,,,,,
Sowk1002 curve,Ohh wow thanks!,seems >65 B+,Anyone?,1,5,,,,,
Econ 1210 gun,Push,Push,,,,1,4,,,
Campus 😙,Pm,Me,Hiii pm,1,6,,,,,
⛹,ok,pm?,wanna find gym buddy also🥲,2,15,,,一齊gym？,,
Anyone Monash exchange?,你gpa幾多ah?,報緊sem 2 late round 希望入到！,Sem 2,1,7,,,,,
FBE Sum sem trans cred,有無人都係咁 驚佢唔當我交左🫠,Email交application比fbe ugenrichment 幾日都無人覆,,,,2,2,,,
想跟PT學返gym 有冇介紹￼,🤣join咩exercise to life lol,認真post,好笑🫠,1,6,,,,,
有冇lck 巴一齊gym,非gay 搵gym partner only,,,,,,,,1,1
Socsci trans sowk,請問可唔可以PM你問少少嘢？,sowk+1,pm,3,8,,,,,
ENGG 1310 Gunner,Pm,Pm,sem1 a range,1,6,,,,,
endeavour merit award,received also,Received too,,,,2,16,,,
Mock exam download唔到exam paper,我都係,"3/5(ytd)我入左mock exam之後一直download唔到exam paper,同埋係drill olex嗰邊都download唔到exam paper話我not allowed to download the file😥想問下有冇人識解決呢個問題🙏🏻我send過email比olexhelp結果佢話呢個只係for練習個過程如果到時exam真係出現呢個問題就同course teacher講😥",,,,4,3,,,
精算人入嚟,yr1?,Ask how to trans degree?,Lol,1,6,,,,,
Olex exam係點,你應該淨係入左share screen嗰個？要入埋invigilation嗰個wo,Same,我zoom個mock exam入到去得我自己一個,3,7,,,,,
故事接龍,(有冇人可以幫下諗下隻蜘蛛到底點寫落去),突然之間船上衝出一隻黃色嘅動物，究竟係咩黎？,但係佢畀葉劉姐姐隻白滑長腿一腳伸咗落海,4,24,,,,,
Psyc2019 mid term圍爐,唔睇textbook 死梗,其實Henry 教到好亂,Midterm都唔容易 lol,1,13,,,,,
Hku有幾多人有食煙,邊有學校唔比食煙架,我鍾意講係我嘅事，你鍾意食到死係你嘅事，我好支持㗎喎，你千祈唔好搞錯,依家咪用言論自由同你講fuck off,2,6,,,,,
唔係仲有law student淨係識咪textbook啊嘛,pushh,"你同學霸嘅差距只係一份可以幫到你慳時間嘅高質source當你仲揭緊本書嘅時候學霸已經溫曬成科了因為人地有notes🤫唔洗羨慕佢哋 你都可以一樣高效溫書！👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻About me:- HKU LLB First Class Honours graduation- Training Contract secured with an international law firm (3 offers + 1 direct TC)- Awarded Dean’s List since Year 1Subjects available:- Tort Law I&II (full year) A- ($700)- Land Law I&II (full year) A- ($700)- Criminal Law I&II (full year) A ($800)- Criminal Procedure A ($400)- Equity and Trusts I&II (full year) B+ ($500)- Commercial Law A- ($350)- Business Associations A ($400)- Administrative Law A ($400)Soft copies (pdf format) sent via email, exam scripts and Vacation Scheme/TC guides are available too.Screenshot of my transcript will be provided on demand.Price negotiable for multiple purchases! I don’t check Goop often, please find me via Carousell @lawnotesforsale or TG @t0t_r",,,,3,2,,,
Fina 2330一齊考,Pm?,Pm,I want mc too,1,43,,,,,
Anyone Sydney exchange sem 1?,Okok,Pm,Pm,1,9,,,,,
求chem2541 gunner,Dxu self study la,,,,,,,,1,1
Geog 1021 求source,Plz Pm 🙏🏻,,,,,,,,1,1
Hkuww fbe 一問,"唔係, ampb d fina elective ~~",Haha,Trans credit for econometrics?,2,7,,,,,
ccch9023 A grade sources,pmpm,^^ pm if interested,Pm!,1,4,,,,,
ECON1280/STAT1602/STAT1603邊科好,1280垃圾,Leng grade,1603,1,5,,,,,
有無人有興趣一齊做start up cofounder,Nei d equity not worth that much,Fresh graduate dou at least 25k la,冇,1,5,,,,,
CCHU9044 Essay,Must be live performance after Feb 2022,份嘢係咪一定要live performance?可唔可以睇以前嘅video clip? eg youtube六年前嘅阿拉丁musical有冇啲咩網介紹 可以睇到performance 佢suggest hk art festival但個個event都唔過20分鐘😭好迷 都唔知點嘔1500字個人感受出嚟,,,,2,,,,
高價求civl3115 phys1055 pastpaper,價可議，pm傾,,,,,,,,1,1
Want FINA 2330 (Schmid) source,Pmpm!,pm,pm,1,12,,,,,
MECH3430 Assignemnt,想討論下Q1 有意pm,,,,,,,,1,1
FINA 2330 BSTC 2017 sale,pm,pm,500,1,10,,,,,
Goldman.S case comp,Pm,"Pm, hv case comp final exp",Pm,1,12,,,,,
bk唔切ielts 5月6之後仲有冇得報hkuww,冇得報 不過好似可以send自己book左test嘅screenshot上去之後補交result比hkuww都ok,5月6之後仲有冇得報🥲🥲,,,,1,2,,,
Fina2322 liuyang,anyone!,Pm,Pm~,1,62,,,,,
Ccch9023 A range source,pm,pm,A+ source Pm if interested!,1,3,,,,,
want acct2105 source,want acct2105 Prof Kai Wai Hui exam pp (1920 sem 2 not needed),,,,,,,,1,1
LLAW3087 PRC IP Law Source,pm,Pm,Hi,2,21,,,,,
现在还可以late drop吗，求指路呜呜呜,Sh,走啦大陸撚傻系，返大陸打飛機,,,,2,17,,,
求SCNC1111 pp ans+ explanation,Lm,,,,,,,,1,1
Does your major really matter?,Agger Engine the best,承讓承讓,傻系😂伸過面，你邊位，比我踩住有你份,8,45,,,,,
有冇啲資助可以申請攞 for住hall/exchange,就係想問有冇其他資助可以攞,Up mud 9,已經grantloan 同埋知道有唔知第一代大學生$15xxx 👏🏼不過依家已經yr2 唔知可唔可申請 上年冇申請到 睇下仲有冇其他可以申請 麻煩各位了!!!🧎‍♂️,2,3,,,,,
__,開到啦,Btw 啱啱開到,好彩死serv前幾分鐘交咗份assignment,1,6,,,Moodle 死ser?,,
求psyc 1001 final source,如題,,,,,,,,1,1
engg 1340 source,pm,Pm,pm,1,5,,,,,
有冇人有ECON2220 Past Paper🙏🏼,Plz tg@hihixdxdxd,有冇人有ECON2220 Past Paper with answers?,,,,1,2,,,
COMP1117 assign4😭 幫忙,Pm,easy/difficult ver?,is there anyone can help😭,2,3,,,,,
有無人想一齊夾band?,Okk,Pm?,Year3 c 平時鐘意聽indie 其他類型都可以夾下,1,3,,,,,
FCAS update！,BOC MT Panel in,citi final in,Hkma any news?,4,7,,,,,
Biol1309 請槍,🙏🏻,,,,,,,,1,1
Citi Summer查唔查grad date/學生證哇？,但係credit-based算唔算flexible graduation date呀,請問check到會唔會withdraw offer拉黑名單呀😭 唔該你,bg check會check到，發現對唔到你之前交嘅資料會即時dq你,3,4,,,,,
有冇人applied L'Oréal intern？,Manager in?,oreo餅乾！！,yau duk in,1,4,,,,,
幫你搞掂MATH1851 COMP2121 SCNC1112,dm🙏,你威,sci 爛過engine wo,1,15,,,,,
北歐exchange,有冇Ching知唔過3去唔去到北歐🫠,,,,,,,,1,1
收fina2330 2019-2020 exam paper,pm,pm,Pm🙏,1,41,,,,,
ACCT1101 A+ source,pm click火圈,Pm,Push,4,114,,,,,
ENGG1310 MATH1853  Exam請槍,Pm,Dm,Pm不成功不收費,2,8,,,,,
Math 1009 請槍,Please help ☠️☠️ dm,,,,,,,,2,1
Sem1 Germany,Pushhh,Konstanz🙌🏻,,,,1,2,,,
psyc1004 quiz,U may ask ask last sem take,Same want help plz pm,pm if you can help with quiz,1,3,,,,,
FINA2342 3 pp for sale ($80),Pls tg @waitwhattheheck,,,,,,,,1,1
有無人想一齊夾租,pm,情侶想搵多一對情侶係kong u附近一齊夾租～budget ard 3000,,,,2,2,,,
chegg 代查,pm,Hi,pm,1,5,,,,,
交換source,另外亦有多個Buddhism course (Range from A+ to A-),"CS final year就grad想學吓其他discipline/major嘅嘢想用CS source/course materials同大家交換其他discipline嘅course material大部份CS嘅course都有(mainly A to B+ range)對music, quantitive finance等等嘅course都有興趣就算唔係上面兩個major都歡迎PM",,,,1,2,,,
comp3314 assi交流區,Q2 有無人識,,,,,,,,1,1
late drop要幾耐,我星期三交 星期二就approve,Ohh thankss我係上個星期四交，希望呢兩日approve啦..,一個禮拜左右,1,4,,,,,
Engine 入，覺得mechan點,低過三先入到,但其實上年EEE department都收爆左人，因為有一大堆人入左黎讀CE,得civil cs有gpa要求,4,75,,,,,
Summer sem CC 邊個好,ST9054HU9001GL9011GL9042CH9054,,,,,,,,1,2
__,"Yes, but again, that requires very high ability",But seems like big data is more useful……,"Yes, shall take a master if u study econ",1,14,,,ECON 2210好伏,,
__,有冇人知 exam幾多有B,淨係想求個b/c range,2901每年都好多人炒,3,30,,,有冇人識做stat2901份midterm,,
ENGG 1310 招gunner,dm,dm,haloo,1,9,,,,,
SOCI1001 sem2,咁你交唔交換😂,Lm,有冇人有興趣交換memo or term essay cc,2,3,,,,,
__,大家quiz最後幾多%,Hi pm thx,,,,2,8,CCST9025,,
Law students intern,Which year r u in?,Which chambers?,got mini p offer,4,7,,,,,
22/23 UC Sem 2,Pm,Hello !,pm,1,7,,,,,
有冇人22年sem1 去UC exchange,Hi,Usc here,,,,1,2,,,
請槍寫essay,pm,pm,有興pm,1,5,,,,,
求精算補習,想問下通常overall幾多分左右先有b range thanksss,保險狗,做 pricing 就唔同,3,22,,,,,
Stat 4601 study group,hello,me,Anyone taking stat 4601 this sem,1,3,,,,,
有無人考完morphology係唔夠時間做？,Etiology 無時間,,,,,,,,1,1
comp3322 study group,99,what your mark?,90,2,12,,,,,
ECON2280 & FINA2322,Hi,Dm,Dn,1,18,,,,,
求Busi3803 sources,"Hi, anyone can sell me busi3803 sources pls!!! 急！",,,,,,,,1,1
SOWK1002幾時先肯出midterm grade🥲,yesss….,Same...,唔知點解佢今次唔出埋grade😐個course outline又冇寫grade嘅cutoff係點,2,14,,,,,
HKUWW Sem 1 Ireland,Same!!,trinity college s2,Dmmmmmm,2,8,,,,,
求GEOG2141 remote sen n gsource,如題,,,,,,,,1,1
mgmt2401 dennis hsu source,anyone has mgmt2401 dennis hsu’s pp?,,,,,,,,1,1
有冇人諗住報hkuww late round 2,大家諗住報邊間,me,Me,2,10,,,,,
Mgmt2401 A+ source for sale,pm,Pls send me invitation,pm,1,12,,,,,
CSCI 寫作F咗，course會唔會fail?,Otherwise d grade,Recommend retake,+1…,10,,,,,,
☺️,push,push,,,,1,2,收CUND9003 Source,,
HKU 邊間好住！,wanna know too🙏🏻,needa have high gpa??,,,,5,47,,,
Sino1003哩科讀完評價點？,伏到仆街,伏🫥,push,1,7,,,,,
CCGL9002嘅storyline 究竟要幾詳細,印象中唔駛個個locales都有story 🤔 建議可以約tutor consultation 利申上年讀siufung tutor,Grp proj個storyline究竟要幾詳細，係咪每個locales都要有個story喺度？,,,,1,2,,,
LLAW 3102 Evidence source,can pm?,Pm :),pls pm if have,1,3,,,,,
收 acct1101 mktg2501 pp,Both hv mc?,"$50, 2021 sem2 has A+ solution",Pm pls,1,12,,,,,
business yr1 可以搵咩￼intern,話咩finance intern其實係保險嘢,唔好做啦AIA，保險來嘎…前排叫我interview，上網search左先知道伏沒去,,,,3,10,,,
☺️,pm,pm,Selling A grade sources at low price for CCCH9005,1,5,,,收CCCH9005 A+ source,,
ECON1280真係好煩,垃圾professor同notes，evaluation到比左好低佢，唔得掂,本身無底，準備F,功課就用tools，考試就連計數機都冇，究竟係乜嘢course design 😢,1,8,,,,,
收POLI3080同POLI3005 Source,如題 thnx,,,,,,,,2,1
Turn-it-in,10 分鐘睇成個 course 嘅文就差唔多 🤭,冇，鬼得閒咩，佢哋用10分鐘睇你篇文咋,會,1,5,,,,,
