参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Hall A兩女想調 北宿/hall G/H 有酬🙏🏻,🍵,有fd係hall g想調🙏🏻,🍵,Push,,,,,1,2,,,
Hall F 一男想調Hall E🙏🏻🙏🏻🙏🏻,🐆,Hall B ok?,🍟,Push,,,,,1,2,,,
住Hall D想調WHC/WJY~,🎄,ho！,🙇,Ok,🤕,wechat ok？no tg,2,27,,,,,
🐽,💩,hi whc一女想hall g pm,😤,Hello 你想唔想調 hg？,,,,,1,2,WJY二人房一女想調hall D,,
平放LCC1010書,🐸,超級殘舊，第4手了，有曬前人精華😂$50,,,,,,,,,,1,1
2whc女想去hall f,🍉,HG girl wanna go to whc or wjy,👼,pm me,👼,ok？,2,20,,,,,
識下frd～,👨,okk,😌,"Fm , Pm!!",👨,pmpm！,1,5,,,,,
CLE 9020想調CLE 9024🙏🏻,🌿,Push,🌿,如題我CLE9020 tut係319class,,,,,1,2,,,
今年FM有無靚女,🦁,hallC有靚女！,🌴,我bba！！想識佢🤤🤤🤤,👱,有個bba戴眼鏡女幾有氣質,1,7,,,,,
Waiting list 幾時肯派hall啊？,🙈,Dllm我想住呵呀,,,,,,,,,,1,1
滿唔滿意現行 add drop制度,藍地美鳳,最撚戇鳩係改一改tut時間要成科drop左佢 reg唔返就credit都冇埋 弱撚智system,🐯,"本身因為人少，科已經少，仲成日冇啦啦唔開 course, d course 又成日time crash",😶,最濕鳩就係呢樣嘢 排schedule 成日都係差半個鐘,3,18,,,,,
英文系d科都唔比人入紙？,🙉,咁冇辦法架喇,🙉,邊位prof？,🐉,send左 prof話no,1,15,,,,,
徵籃球一個 可二手/全新 🏀,🐬,How much,🐬,幾成新？,🐬,可以,1,8,,,,,
HF情侶房,🍕,HE調HF,,,,,,,,,,1,1
LUE1002 CRN563,Lkjhgfdsa,566 ok?,🐰,重酬,🐰,我想要554,1,6,,,,,
收LUE3003書📢📢,🍫,收書,,,,,,,,,,1,1
收LUE3003書,🍊,收Lue3003📖🥹🥹🥹,,,,,,,,,,1,1
求放VIS3005 小妹唔讀畢唔到業🙇‍♀️薄酬,我都唔知叫咩,問咗個prof. 佢話入我落wait list而家我照send咗紙比佢先，睇下佢簽唔簽比我,💀,試下入紙？,我都唔知叫咩,如題，佢呢科係兩個major嘅requirements，但淨係開一班，求有人做下好心放個位出嚟，薄酬,1,3,,,,,
🌚,🐴,如題，請解答唔該！,😏,轉咗人教 唔係咁清楚但係之前都用得多,🍂,pushhh,1,5,,,想問lue 3002用書多唔多,,
Hall A 2女short wing 都想調 H al l,🌽,push,🌽,有酬！！,🌽,push,1,7,,,,,
收LCC2010書,😰,Pdf $30:),,,,,,,,,,1,1
收LUE 3003書🙏🏻,👱,hi請問係咪有書可以放？,😯,pm,,,,,1,6,,,
買書一問,🐷,check outlook 要買書會講,🐭,CCC唔使買書的8012、8014 lec有recording 我冇去過添,😝,唔使睇CCC無需要買,1,4,,,,,
求放/換LCC2010 Sec14同VIS3005 薄酬,我都唔知叫咩,Push,我都唔知叫咩,Push,我都唔知叫咩,Push,1,9,,,,,
🥹,🐚,🥜,,,,,,,,,,1,1
BBA Course Requirement一問,🍲,"btw, major d core course全部開得1，2個section....冇pre reg到就慘",🍲,多謝師兄 岩岩year3先黎讀呢d basic core 🤣,🍣,無論你係BBA 咩major 都好呢12科都一定讀,1,6,,,,,
求HST4499A sem2😭😭,😃,push,😃,push,😃,push,1,5,,,,,
報名For2023-24 Exchange同學入,🐚,你gpa幾多？,daikjlz,申請書同埋學習計畫，而家等緊10月開exchange申請，注意郵件通知la～lu website 有嘅，你睇吓lo,🍐,算唔算心儀學校呀,1,11,,,,,
LCC2010 換堂,💂,我想 SEM2 LCC2010 CRN 536轉520🙏🏻有意請DM，薄酬:),,,,,,,,,,1,1
Hall A兩男 想調 Hall E,😝,Push,😝,Push,😝,U pm me?,1,15,,,,,
Hall A 一男想調 Hall E,🐖,Push,🐖,Push,🐖,Hihi,1,9,,,,,
fm想入dance soc,🌿,有無人陪下我咁🥲🥲,,,,,,,,,,2,1
調E調房,😽,一樓調去任何其他層,,,,,,,,,,1,1
有冇人都係上年遲咗reg hall,🍠,我上年入係有多位佢出email叫人apply,🌳,姐係遲late application係派呵冇得揀？ 唔該晒各位🙏🏻,🍌,九月中 遲reg冇得揀啦,8,,,,,,
HC/JY如果我隔離個廁所有人用緊我可唔可以去其他房嗰個,🐕,最好同佢哋講聲，有啲人會介意,👳,fm新入宿，想沖涼但係隔離個廁所俾人霸咗好耐,,,,,1,2,,,
Reg科,Fmhaha,History,💩,Maximum,🍉,Year 2 sem 1 一定要讀六科？,1,7,,,,,
入紙一問,🐞,是咪咁,🐞,📷,😉,Same as how you reg course,2,4,,,,,
Hall H 一女調hall b 🙏🙏🙏,👮,我哋係兩個女仔🤣🤣你會唔會同roommate一齊調,💁,咩意思？🤣,,,,,2,8,,,
Hall H 一女想調hall C,🐖,Hall A 嘅話你ok？,,,,,,,,,,1,1
FM請問LCC2010書喺邊度買？,👴,Yeung Fan可以唔洗買,IDKWhoAmI,有pdf版，唔一定要買,😔,請問舊書係咪唔會改版㗎？,1,10,,,,,
有冇人可以放lue 1002 CRN 554 薄酬,🐙,你562係星期幾上堂 幾點,🌿,好需要553做下好心得唔得 可以比高啲薄酬🥹🥹🥹,,,,,1,8,,,
有無人會放bus2107 crn48🙏,🐟,Up,👨,Up,👨,Push,1,6,,,,,
ACT4354洗唔洗買書？,😴,Push,😴,如題！,,,,,1,2,,,
ENG3009讀啲咩,🐼,廣告/narrative入面嘅手法1份廣告presentation 1份網站presentation 1份narrative 寫文,🍣,同問,🕴,如題,2,3,,,,,
有冇好心會放CC8014-1 Crn132?,🐼,🙏🏻🙏🏻🙏🏻,🐼,Push,🐼,有冇好心會放CC8014-1 Crn132?,1,3,,,,,
Chi3237/Eng3009有無人知讀咩？好唔好讀,👳,"Reg咗CHI3237,見佢outline好似伏优地..",,,,,,,,,,1,1
有冇人可以用bus2202-62交換60,🤗,有冇人可以用bus2202-62交換60,,,,,,,,,,1,1
想收LUE3003書🙏🏻🙏🏻🙏🏻,KKC,pm我 plz,,,,,,,,,,1,1
LUE 3002 Ted Talk 書,🌰,想收！,🐆,已pm🙌🏻,🐮,pm！,2,61,,,,,
有冇人可以放PSY 4003 crn745🙏🏻,😉,我有crn749 位,,,,,,,,,,1,1
收lue3003書,🙋,Pm,11123,Pm🙏🏻,🐺,已經落左新書嘅單了，唔好意思啊🙇🙇🙇,1,7,,,,,
fm想問下gym room喺邊 洗唔洗收錢 有冇話點先可以用,👱,晏就去排隊排撚到仆街,🌿,thx,😡,Thanks!!,1,9,,,,,
看Exchange頭昏腦脹,🙋,唔該曬你🙏🙏gpa過三 文科會唔會有咩推薦嘅國家同學校？,😂,國家大於一切呢,😂,國家   大學排名   開google map睇下附近地點交通   有咩course,1,4,,,,,
想問￼下如果sem2想去exahange仲有冇得￼報,🌭,冇,,,,,,,,,,1,1
🍋,😿,push,😿,push,,,,,1,2,BUS2211 CRN72 想換CRN75🙏🏻,,
排球隊難唔難入,🐅,搭單問咩水準,😖,利申：新手,,,,,1,2,,,
WHC 703尋Roommate,🌿,想識PM,🌿,想識PM,撚大素具蝌鶴,Push,2,10,,,,,
HA room swapping後調情侶房,😨,Push3,😨,Push2,😨,Push1,1,8,,,,,
求問各位師兄姐入紙原因,👴,收到！睇吓點寫！,👴,"同埋想問如果lecture冇位, tutorial有位嘅話，駛唔駛兩個一齊入紙, 定淨係入lecture就得啊？",😿,你可以話你想minor ？,2,17,,,,,
🦄,🌮,麻煩曬大家了🙏🏻,🍐,唔駛,🌮,想問使唔使另外同學校申請嗰啲🥲🙏🏻,1,14,,,fm想問下gogovan之類可唔可以入到hall附近🙏🏻,,
LCC2010 $100 pm me,🙏,Pm🙏🏻,🐥,dm🙏,,,,,1,2,,,
IELTS可以點準備?擔心reading同writing,Hahhh,pm,🤕,pm,👽,點pm,2,12,,,,,
想問大家知唔知sing con賣飛詳情,🎄,SU好似未公佈,,,,,,,,,,1,1
想收雪櫃,🐿,推一推,,,,,,,,,,1,1
有冇FM都入咗Contem English？🙋🏻‍♂️,🎄,hi fm here,😴,Hihi,,,,,9,,,,
想吐嘈下hallf store rm開放既時間,🍓,marker寫晒名 你夠膽就攞上八樓用,🍓,cls痴實喺箱度都偷,🍓,邊個攞咗我個洗衣架自己擺返去二樓common 唔好俾我搵到你,1,6,,,,,
收lue 3003 書🙏🏻,😗,帶價 pm thank you🙏🏻,,,,,,,,,,1,1
Service learning,🐁,有d人可以有d人吾得，因為會多一倍workload,🐢,想問如果integrating service learning element into junior research project呢科， 係咪可以fulfil service learning嘅grad requirement?🙏🏻🙏🏻🙏🏻,,,,,1,2,,,
Finance minor難唔難讀？,⛑,我本身acct major,🌸,同問，本身中文系,🌝,你本身係bba定咩,2,5,,,,,
雪櫃,🍯,收雪櫃！,,,,,,,,,,1,1
Minor Philo,🐿,知道🥹咁我去馬了！,🍳,major philo表示如果真係有興趣、想學嘢就去馬啦,🎃,有啲嘢想做就做啦 讀咗philo個人會開心啲！利申 major philo,4,10,,,,,
Hall D 男想調 Hall F,😤,push,😤,push,,,,,2,19,,,
🌰,🙉,💌,🐱,Pm,,,,,1,5,Hall D一女想調Hall E（薄酬 可議🙏🏻）,,
Hall c 轉Jy or Whc 有酬,燃,Send 左invitation link,燃,Pm,longtimenose,點pm🙏,1,7,,,,,
"free electives,exchange龜計cgpa？",😝,Exchange 先唔計,🐳,後者唔計,,,,,2,2,,,
🌸,🤐,push push~,😈,pm?,😈,yesss🥺,1,9,,,求CCC8013 (123)換(113/ 126/ 127),,
住hall係咪一定要打齊三針￼,🍍,係有疫苗通行證就入得，定係一定要打齊三針？利申: 康復者，未打得3針住,,,,,,,,,,1,2
TRA 3222 tut 1 grouping,🍃,Push push,🍃,有無人想一組？no free ride pls😝😝,,,,,1,2,,,
睇唔岀Su又真係請到MC,😗,之前有校友會,🙋,果然都係娛樂至死,🙏,笑撚死做會員,5,10,,,,,
LUE3004 CRN585換 CRN589,🌯,PUSH,🌯,PUSH,🌯,LUE3004 CRN585換 CRN589，有意PM🙏🏻,1,3,,,,,
Hall E 2男想調新宿2人房,😐,淨係想要2人房🥺,🐐,三人房要唔要？,,,,,2,12,,,
點解唐文仲未走🤬🤬🤬,🐟,唐文仲喺度？,🌱,其實translation 有咩好嘅professor ?,🌱,我都想知,4,,,,,,
NSO一問,🀄,Official welcome著短褲入唔入得,🍨,Thx,鴿,Mbg12,1,16,,,,,
ccc8013 tut134求換114或117或119,🐤,up,🐤,up,🐤,up,1,19,,,,,
Wjy三人房調wjy/whc二人房  有酬,🌮,Wjy三人房調wjy/whc二人房  有酬,,,,,,,,,,1,1
Hallmate 相認區,😀,有冇WHC714,🤐,我609,🙄,whc1007,1,12,,,,,
我之前都唔信 但￼HD￼真係有靚女￼,🍺,笑死有人葡萄😅,,,,,,,,,,3,10
NSO一問,😞,只不過呢個timeslot 會系正門有得攞啫,😞,其實你遲啲都得啦,🐭,；）,1,5,,,,,
想問下你地收到政府資助未？,🐊,收到 仲要有補交過文件,😳,係grant啊，hall fee個個我收到了我同學係話收到grant/loan，仲要係喺學費deadline之前,🐞,你講hall fee津貼？,1,7,,,,,
Exchange 間學校自己一個,🐮,一個人硬係有啲淆,🍘,Where,🍍,咁咪好 去食洋腸都唔洗驚有人會四圍唱,1,14,,,,,
Bss莊員又嚟料?,🍓,BSS莊輻射莊,🙂,開名啦,,,,,3,26,,,
🍥,peaheyyoce,有人偷洗衣籃！！,😕,我Daddy買嘅🥰,,,,,16,18,Hall B有咩花生食,,
有冇Hall D fm?,,,,,,,,,,,,,
調hall,💃,hallf女調halle,😞,Hall c 一女想調whc 🤧🤧,🌮,Hall h一女想調新宿🥺🥺🥺,1,3,,,,,
求放Sem 1 CLA9007 Creative Indus,🍮,btw cluster唔係唔入得咩,🤕,Year4就入紙啦 多數都批,🍮,如題，小弟year4，末讀CLA，任何tut section也可以，求有好心人放位😭😭,1,3,,,,,
Fm買書一問,Kaylielty,有意,👳,LCC1010放書有意DM,🍙,係 lue/lcc全部都係一個sem之後冇用,1,6,,,,,
Fm Reg科急問,💣,Thank you,🌲,唔一定啊 最好就頭兩年讀晒CCC 但係次序唔一定要跟住,💣,會有人drop CCC?,1,14,,,,,
[Fm] 有冇人入咗Hall E🥲,Man666,有冇人係唔想要E想換架🥺,🍃,好啊！！,🐛,4樓好正～,1,17,,,,,
LUE 3003 係咪個個老師都要求買書,🐮,Pm plzzz🙏,🍙,Pm thx,🍣,pm,1,76,,,,,
Fm揮手區,😻,有冇fm派咗去HallA🥲🥲,💀,我😂,,,,,8,97,,,
想問下幾時可以入宿,🌾,珍,🀄,鬧撚緊你呀 year 2都仲做伸手黨,🀄,又唔上網搵 又唔check email,1,6,,,,,
依家登唔到portal係咪正常㗎？,😡,入到了😂唔好意思,🗿,試多次？我頭先都登唔到，啱啱再登就登到了🤔,,,,,1,3,,,
請問幾時可以開始住hall？,🎉,send email 俾 nso,🦄,"最早26號check in, 早過26無得入喎，唔好fake FM",🌹,病左去唔到點算🥲,2,10,,,,,
fm幾時reg得 hall,🐝,會建議chur唔起個d咪撚住Hall D囉,🍬,😂😂😂😂,,,,,3,72,,,
嶺大終於有學生會 求下大家一定要投票,🦄,你依度解釋「臨委」冇辦法做到嘢嘅原因，根本有好多重嘅成分係入面，但就抽空脈絡話「代會吾想孭飛」😅對代會都幾吾公平不如問下自己擺咗力水去說服代會？如果係有心去做嘢，例如話係好想去坐會，咁事前準備咗幾多功夫說服代會，哪怕係做好調查、睇文件等基本嘢，又或冇得做大型問卷調查都可以搵下身邊朋友做case study吧，依啲effort先係俾代會知臨委係ready好去出席吧？而吾係等運到話代會吾批去開會，就佢哋錯哂吧😅,,,,,,,,,,58,210
2女whc想调hall F同房🙏🏻🙏🏻,🐃,Hall E要唔要🥺,🍄,push,,,,,1,10,,,
各位fm hall result派左第幾個choice！,🌳,原來fm都有咁多人都派唔到😲,🌳,做個統計！,,,,,1,3,,,
有無人reg咗ada2001,💁,睇反reg 科個system 有寫,🙇,求救🆘有無人可以話我知佢上堂時間，我reg唔到，想求嗰prof比我讀🥺,,,,,1,2,,,
收3004 ielts 書,😳,pm,🍕,我係樓豬 有書煩請pm🙇🏻‍♀️🙇🏻‍♀️🙇🏻‍♀️🫶🏻,,,,,1,2,,,
🌬,😉,都好🤣🤣🤣,🐶,如果真係尋唔到就等入宿後就會知啦😹😹 不過十樓嘅大家都好好人的！唔洗太擔心🤣我上年住過🤣,,,,,1,8,FM尋HC roommate,,
Tra 3222 Business Translaton,🍏,想問下呢科走lecture走唔走得🤔,,,,,,,,,,1,1
Luo Wenyan 定 Lin qingyang,🦃,Hea,🐼,公道自在人心,,,,,1,5,,,
Whc花生區,🍳,會長大大粒花生,Oscarhin,想調去hall d🥲,🐨,Hall C 想轉調黎🤧🤧 有冇人想調～～,10,28,,,,,
有冇WHC嘅朋友,🍀,5樓,🐯,Hi,🐬,有冇人約打牌,1,11,,,,,
☺️,🍉,Pmpm,,,,,,,,,收二手雪櫃 Pm,2,1
尋rommate Hallb 604🥹,🐛,pm？,🐛,😂,🙊,想提早同rm相認🙈🙈,2,8,,,,,
想問邊度可以睇reg嗰科仲有幾多個位,🦁,到時要填紙都未遲,🦁,建議等到add drop period再睇有冇位,bbyj,Fm 唔知邊到有得填form 請問可以係邊到搵到,2,6,,,,,
hall C女想調去新宿/hall D E,🍛,hallc 以外嘅hall🥹,🍛,其他都得🥹🥹🥹,,,,,1,2,,,
🍁,🐦,Pushhhh,🐦,Pushhhhh,🍯,Pushhhh,1,7,,,Hall A 兩女想調Hall G H 有酬😭😭,,
有償求換PSY3201 726/727,🌞,或者3101有無同學上午想調下午,🌞,有無PSY sem1 3201 727/726同學可以同我調728🥲我無住hall 上一堂 1230落堂1730先再上堂🥲地獄天地堂，有無人可以幫幫手，有償,,,,,1,2,,,
點睇hall?,👨,咪就係room1002 B床,🍁,我係fm！啱啱見到排左宿，我係WHC1002B，但係唔識睇係咩意思,,,,,1,2,,,
想知有冇人係讀creative media,☺️,Dm,🍓,+1 求相認,☺️,想揾人相認下吖🫠,1,3,,,,,
Quit hall放雪櫃,🌾,pm～,😘,pm！,,,,,1,7,,,
收LUE3004 書🙏🏻,🎉,已pm,🍒,pm,🎉,出LUE3004書，七成新120,1,5,,,,,
lue 3002 收書😭😭😭,🌴,求3002實體！,🦀,收書here,🍕,想收書,1,6,,,,,
去左Exchange 有啲 home sick,🐻,多謝你地 希望可以早D習慣,🐟,好好努力加油！你學習之餘都係玩！嘗試享受投入下新地方嘅活動 ~,🤕,我兩個禮拜就想返香港,1,10,,,,,
畢業袍一齊買TYG,😩,推,😩,推,😩,Ok,3,105,,,,,
act 2200同 act3203係咪一定要買書？,🍯,pm,🍓,pm,🎂,放tax書！上sem考試用完,1,10,,,,,
LUE英文科一問［Year 1 fm］,🌝,加埋participation,👵,"已經冇考試，得4份assignments, 2份writing, 2份speaking",🐗,好呀🥹🥹🙏🏻最驚英文爛grade,1,9,,,,,
💃,🐄,今年新莊唔知點 咪試吓先囉,🐍,有冇多啲花生食😆,🍗,淫閪喺度跳舞搖屁股就啱啦🤗,1,11,,,join danso？,,
想搵roommate嘅可以入一入嚟￼,Howareyounow,Pm,🍈,我409😂,Keeptalking,有冇人住HB407B,2,18,,,,,
ACT2200書係咪一定要買？,😠,係,,,,,,,,,,1,1
😥,🍚,Thx🙏,😟,你可以year1 27 credit但係之後某一年就要33睇你點安排,🍁,乖乖哋跟advisor email la😂,1,4,,,Reg科一問,,
[Fm 圍爐] 各位揀咗咩Hall ?,🌻,認同 其實都係睇你份人係點姐 如果你份人摺 棟hall點chur都冇用啦 你份人真係想識人 就一定有機會識到,😄,咪以為摺嘅人入到chur嘅 hall就會chur得起，因為摺嘅人永遠都係摺,👨,講真 過完pandemic 根本就大部分hall都冇晒hall文化 而家邊個hall chur都係因為有班chur人係入面而唔係因為啲咩hall文化,5,92,,,,,
收bus2107 書,🍼,Pm,😌,🙋🏻‍♀️,🍼,收bus2107 書🙏🏿,1,3,,,,,
第一屆LingU麻雀soc,🌾,有興趣就入嚟啦,🌾,https://t.me/+9MWkJ2NGkLkxMmU1,,,,,1,2,,,
康復碼未到期係咪可以唔洗打針先,🎄,係暑sem前 係咪依家已經改咗制度🫢,👳,之前係指暑sem前？,🎄,之前入hall試過因為冇針嘟學生證入唔到🥲依家改咗？,1,9,,,,,
hall h 一男 想調hall b,🍃,push,,,,,,,,,,1,1
Tran bai yun Fei,🍏,似新人窩,🍲,新人？,,,,,1,8,,,
有問題認真問,🐈,咁我報non jupas係用咩成績報,🐯,佢又唔似dse 要溫書黎考試,,,,,1,70,,,
Sem 1有冇可能online…,👶,可以去邊度索病毒🚬,😙,你中咗咪可以,🍗,夢入面有,1,3,,,,,
Year4先玩ocamp做組仔會唔會好奇怪,🐸,Lead 下fm 再一齊玩下新game lor 都唔錯,🐸,家陣啲爸媽好多都未camp過 但你比起fm 除左game 外 學校野都比佢熟悉,🐸,做組爸啦,1,7,,,,,
Fm求助：advisor approve左唔洗見佢？,🍉,Ok,💃,你check chat box,🍉,已襟信封,1,12,,,,,
我係yr1 fm，想問下學費係幾時交?,clarat,好！thx,🐶,開學之後佢就會出email叫你交㗎拉,🐶,最遲10/10,1,3,,,,,
"有無TRA fm呢幾日返去搵 advisor, 相認吓？",🐁,Send 咗email,🐁,Hi,🍝,Hello,2,3,,,,,
收lue3004書,🍙,pm,😦,IELTS Intensive: A Short Course for IELTS Success有意pm thanks,,,,,1,2,,,
觀塘到嶺南最快嘅交通方法￼係咩？,🍇,hall,日曰,住呵,鬼塚英吉,258P(下繁）,1,9,,,,,
有冇都係fm諗住reg hall e🤣一齊傾下,👸,聽日一於打去問下仲有冇得揀hall🥹🫶🏻🫶🏻,👰,依個講得岩呀,😒,唔係呀 sorry有少少騎劫左post🫡🫡,2,15,,,,,
👽,🌵,visual人覺得visual係水泡🥲 當年20分求其搵個學位讀先揀佢雖然全港得嶺南開 葉月瑜又算出名,🍃,可能大家理解唔同。jupas計的確bba收分最低，但non jupas(yr3)計反而bba acct同fin收分最高。所以邊科係水泡主要視乎大家由邊個角度睇,🌜,No offence但bba 18分就入到 對比中文/哲學/翻譯 收分真係低好多 收生人數比例上都較多,4,20,,,心目中LU招牌科and水泡科？,,
Tran科,Howareyounow,同一個學系,Howareyounow,但想self fund 轉self fund,Howareyounow,仲未交學費,1,22,,,,,
fm交hall錢一問,一你嘅社群用戶名一,"我之前email問咗：Thanks and it is normal. The University issued the fee note to you via email and before the hostel room assignment is done. When the hostel room result is ready, the Office of the Comptroller will record your payment in the efees note system. Thanks. Hostel Team, OSA",😺,我都係，收到email交咗hall錢，去睇翻eFees Note嗰度都係冇記錄……,😉,唔正常,2,8,,,,,
點樣申請臨時畢業證明🙇🏻‍♂️,🐞,搭單想知推,👨,"我6月1前未完成graduation requirement 所以transcript未顯示date of conferment果d, 但衣家急需要證明 想問下大家點搞🙇🏻‍♂️",,,,,1,2,,,
⛑,🤔,Judo！,😢,Muso 正,😴,Danso 幾好玩，我上年參加咗，佢哋有好多大型活動同埋識咗好多人。但係今年想認真讀書所以今年就冇再去玩lu~,3,19,,,嶺南有冇咩soc好玩？,,
收Lue3004書😊,😁,pm,🙄,如題😊,,,,,1,2,,,
係咪唔住hall同唔去o camp 就好難識朋友？,🙉,乜唔可以上堂做project識朋友咩？咁你以前中小學翻學點識人㗎？,wailam123,"啱呀ching, 心態決定取態",🐯,agree o camp識既好多最後變成hi bye frd,1,10,,,,,
⛄️,,,,,,,,,,,Fm收二手雪櫃,,
讀digital business嘅fm相認下,😊,Push,😊,Push,,,,,1,6,,,
Acct 書,😖,嚟緊讀company law & audit想問呢兩科使唔使買書？,,,,,,,,,,2,1
PMSG course,Howareyounow,推,🀄,想問下有冇讀PMSG嘅同學仔啊？新program黎想提早識定朋友🙏🏻,,,,,1,2,,,
放airpods 全新未拆 $800,😶,🆙,😶,up,😶,push,2,7,,,,,
放lue3002 21st communication 書,vvyy,想問仲有無,🐈,你㩒我信封呀,👹,pm,1,10,,,,,
收LUE3004書🙇🏻‍♀️🙇🏻‍♀️🙇🏻‍♀️,🍐,Pm,🍐,Pm,😬,pm,1,7,,,,,
BBA fm 多謝教 reg科既咁多位🥺,💩,咩form🥺🥺,🍩,~~~好好加油！ 以後教下其他同學Reg科喇Xd,🐿,咁大個仔第一次聽屯門 人生路不熟見到study plan 同 reg科一頭霧水但填左個form之後有師兄姐contract我地問佢哋咩問題都肯解答  凌晨兩點都仲覆機多謝你哋啊🥺 辛苦曬,2,3,,,,,
怕蟲撚入 check in嗰日間房會唔會好多蟲？,🤓,唉,🌬,幾多號check in,,,,,3,21,,,
有無人住jy 12樓🫡,⛹,你讀咩major 架？🤭,🦃,Yes reg jor jy,⛹,你系fm?,1,7,,,,,
Reg 科 study plan,🍖,教晒你點reg,🍖,ig search lingu_infopage,🐢,今年fm 但對個study plan 零了解有冇師兄可以提點吓,1,3,,,,,
放bus2107書 全新,🌹,How much,🐮,How much,,,,,1,2,,,
有無人放LUE3002嘅text book🙏🏻,💩,請問仲有冇🫣🫣,🐆,要啊唔該（sor唔記得reply,🐆,要啊唔該🙏🏻,1,5,,,,,
收airpods pro,🙏,dm pls！,,,,,,,,,,1,1
￼yr3 entry 應該讀咩科￼,🐸,Thank you so much!!!!!,👲,E-business,😕,因為佢淨係開好少,1,12,,,,,
HF兩女想新宿/G/H/F或E嘅short wing,😥,我pm 你啦,😥,有興趣！,🍶,係啊,1,28,,,,,
收LUE3004書🙏🏿,🍇,pm,🐇,放3004書 250 有意pm,,,,,1,2,,,
Lingu冇扶青？,🍙,依家嶺南義工soc uniy大晒都仲有人唔知？ 😶‍🌫️,👧,入uniy囉咁😂,,,,,8,14,,,
🐝,🌻,真,🎍,真事？,,,,,21,37,提提大家今晚唔好屈蛇(全部hall),,
ILP 運動￼推薦,👷,ILP 有 badminton?,🍌,Badminton,🐔,Fencing,1,5,,,,,
屈蛇一問,🐸,會點樣☹️🙏🏻點嚴法 仲嚴過jy hc?,🍿,呵D嚴到仆街,53202,但係如果就咁簽走跟住又入返去咁點算保安會認到？🤔,2,5,,,,,
有冇人都係歷史系fm㗎,😭,Here,🙀,有冇人報左？想識人,😞,聽講佢地好似今年有ocamp,2,5,,,,,
點先可以屈visitor過夜😭,🐕,如果仲係Lu 學生但唔係宿生 夜晚7:00pm之前簽紙上hall d係咪可以屈到？🙏🏻,😕,宿舍樓下,👹,好confused 因為明明新宿就係直接入嚟 之後喺樓下登記就搞掂,2,11,,,,,
其實Ocamp都未知俾唔俾搞.......,👻,有啊，26號,🦂,隔空ice break😂😂😂,,,,,10,39,,,
LCC2010 書一問,😜,1010同2010都要買書,🍖,想問下LCC2010書係咪必須要買？定係開學嗰陣會有筆記派，唔係必需要買？,,,,,1,2,,,
想問下校隊,🍆,踢咗一年都幾開心 ♪,🍆,女子足球校隊有興趣就玩得，唔使經驗～,😈,你有冇話想入邊個校隊？可以dm 佢哋ig問吓 因為個個校隊都唔同 不過遲啲會有選拔 可以試試😊,1,4,,,,,
🌲,🐎,有冇人想救樓主老母？,,,,,,,,,Hall D Ember都幾靚,7,7
ACT 2200書會唔會expire？,🀄,我估應該係 應該堂上要做練習,😶,想問下係咪一定要買？,🤒,唔會 但係如果改版嘅話就要再買,1,4,,,,,
Tran freshman 集中帖,🌲,之前啲人唔知點頂唐文,🙊,唐文唔教啦,🐭,聽 ching講唐文唔係唔教咩,1,9,,,,,
收LUE3002書,🐕,🙏🏻🙏🏻想放麻煩pm我,,,,,,,,,,1,1
有冇人住hall f 701 ，搵室友！！,Joeyabc,pm我,Joeyabc,可以啊，你邊間房，可以WhatsApp傾嗎,🍡,jy得唔得？,1,7,,,,,
Socsci fm 圍爐區,🐢,"真係好無謂, 完全唔改課程然後改個名就可以加強跨學科嘅教與學體驗? 可能真正原因根本係想弱化政治嘅原素, 費事收唔到人, 尤其今年開始係變咗major獨立收生",🐢,"直入major應該唔使喇, 不過唔知對佢哋嚟講係咪好事啦, 對知自己想揀咩major嘅人嚟講就唔使浪費一年時間但係唔知嗰堆就可能揀錯, 又冇得靠intro course去攞靚grade",,,,,8,129,,,
Hall B有咩玩 入左HB,😫,呵b完美到SU Bobo都冇份住,🎉,點算,🎉,我都入咗hall b🥲,1,18,,,,,
HF4樓想調5樓long wing,🦁,應該係reg hall嗰陣唔記得填住原房嘅結果🥹,🦁,調hall應該就無啦🥹sor,麻吉茄,Hii 咁啱呀，我都係上年5樓☀️今年4樓short wing,1,10,,,,,
WHC三人間想去hall F二人間有冇同學換 🙏🙏,Joeyabc,push,Joeyabc,push,Joeyabc,push,1,5,,,,,
覺得圖書館裝修成點,🐴,其實幾型之餘又夠曬unique仲有邊間u個圖書館會咁樣整,😓,整到成個監獄/庇護工場咁尤其新閣樓望番落去一樓,🐡,白色design好睇,1,7,,,,,
放補習,Mariah,暫時夠人 唔該曬🙏,😆,Pmmmmmmmmmm,,,,,1,7,,,
如果exchange tran唔到12cred會點,🐰,tran啲同major cluster似嘅科,😟,😹做咩唔留返fe 去exchange,😵,defer,1,5,,,,,
Hall b 1男想調hall,🐧,"jy 有冇興趣,pm?",🐄,我Daddy買嘅🥰,,,,,1,4,,,
🦀,🦀,浴室果度成日有m巾長期擺係度，仲要係打開嘅狀態，咁大個人都唔識包好掉走？,🦀,係real成塊，冇誇張到,,,,,23,28,建議NSO搞個talk同workshop教人點樣用廁所,,
