参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
__,鍵盤戰士都係戰士,做文宣做連儂牆 社區多你一個好多,其實最需要人手後勤,16,24,,,和理非有咩可以做到,,
而家想入cu 有咩入口可以,人在沙田,,,,,,,,1,1
完sem好空虛,好撚多冷氣軍師都係,而家中大被人搞到成個廢墟/戰場咁...周圍空氣都佈滿催淚彈，真心sad😞,你唔好俾我知你係邊個，我打撚醒你,12,14,,,,,
我係中大手足 我想讓步,交換條件,笑死 你信popo？,如果公開答應 唔搞中大 我讓步,8,15,,,,,
__,唔該🤗,28k仲可以去到赤泥坪,,,,2,2,想問從大埔到cu可以坐乜車 綠van去唔去到,,
依家喺馬鞍山，點番黎？,雙子橋,,,,,,,,4,1
想入cuhk tg any link,Any update?,同求,,,,3,2,,,
今日有冇canteen開？,Any update for today?,【香港中文大學對居住於校園同學的支援（11月12日) 】由於公共交通服務受到嚴重影響，引致中大校園大部分餐廳服務暫停，居住於中大校園的學生及職員可能受到影響。為照顧居住於大學校園的宿生，校方已經安排各舍監及宿舍導師全力支援，並盡可能探訪宿生，回應他們的需要以及提供協助。校方亦已經聯絡校內超級市場，於今日加派貨車，運送新鮮食品及乾貨食品到校園，補充食物庫存。由於受到市面交通情況影響，部分貨物運抵校園的時間可能稍有延誤。校方亦已經與超級市場聯絡，於未來幾天將繼續有食品供應。今天(11月12日)大部分校園的餐廳服務暫停，以下為今天的營業情況(截至上午10時30分)：開放- 新亞書院學生餐廳：開放直至另行通知- 逸夫書院餐廳：開放直至食物售罄- 蘭苑: 開放至下午4點，提供有限度服務- 女工合作社: 開放直至另行通知- 晨興書院咖啡閣: 開放至下午6時- 晨興書院宴會廳: 開放至下午2時左右- Fusion 超級市場：開放直至另行通知 (校方已聯絡超級市場並現正安排運送新鮮食物及乾貨食物到校園)關閉- 范克廉樓學生膳堂- 范克廉樓咖啡閣- 聯合書院學生膳堂- 聯合書院教職員膳堂聚賢軒- 崇基學院學生膳堂- 崇基學院教職員聯誼會會所- 伍宜孫書院學生飯堂- 敬文書院餐廳- 李卓敏基本醫學大樓小食店截稿前未有回應- 龐萬倫學生中心咖啡室（Paper&Coffee)- 清真快餐店- 新亞書院教職員餐廳- 新亞書院雲起軒- 聯合書院思源館- 善衡書院餐廳- 和聲書院WS Pavilion- 和聲滬軒- 和聲書院Cafe Tolo- 和聲書院綠茵廊- The Stage- Café 330,Med can有冇開,10,13,,,,,
Math 1520討論區,想問下各位有冇math 1520 sources🤔想睇下啱唔啱自己讀,想下個sem take 想問下take 緊既人,有冇人讀緊1520,1,3,,,,,
邊間can比較健康?,自備啦🤔,意思係d廚具唔知乾唔乾淨,tbh canteen應該仲污糟🙊🙊🙊,5,12,,,,,
以下嘅選項，係會互相衝突嘅。若只可有一個：,我會揀女人,push,push,7,18,,,,,
Engine人入,私心推介kl chan 高質lecturer,咁唔係一早jam一個好啲嘅 professor 堂上好啲咩🌝🌝,計average,8,19,,,,,
陳宿打蛇一問,上年好似打左兩次,今年已經打左一次,Fact checked,3,5,,,,,
__,覺得自己係一件垃圾 aim緊科科過3 仲學咩人講爆4啊？ 唉😪點解人地又挽得又讀得 自己就搞成咁樣🤬#有無同路人？😢,,,,,,,Year 1想去exchange aim緊過3,1,1
__,結局或同樣,有冇cu住hall，可以開返個夜晚温書group可以隨時call人一齊去,,,,65,130,打開手機冇一個人可以傾計真係好sad,,
有無人今晚想搞野？互含互打,Pm,Pm me pls,哪有仔？,6,6,,,,,
我媽咪要去李兆基睇直播,比張逸夫畢業典禮飛我😭😭😭,,,,,,,,2,1
有冇中意睇波既女仔,足球 我睇少少咁,Hi pm傾下 一齊睇,你上星期幾堂？,11,19,,,,,
__,Sir run run正係坐畢業生？,全部人都睇直播㗎啦,一張就好 叫媽咪黎睇直播搞唔掂🤢,2,3,,,求shaw grad ceremony飛,,
__,pm,有意賣pm me!!高價收,,,,3,2,收和聲女宿🙇🏻‍♀️🙇🏻‍♀️🙇🏻‍♀️🙇🏻,,
大英attendance 要幾多,3堂一個grade,扣2 subgrade,fail,6,7,,,,,
跪求大學畢業禮門票，備有薄酬 意密tg,同求 我好似冇收過 有冇人可以影出嚟俾我睇下咩樣？,跪求大學畢業禮門票，備有薄酬 意密tg @seekright,,,,2,2,,,
有冇人可以救下我? 開左學抑鬱到宜家,same,pm,pm?,20,45,,,,,
10k練跑🏃🏻‍♀️🏃🏻‍♂️,10k 小case,"Expired lol, pm again",,,,5,13,,,
有邊啲uc goal可以exempt fyp？,澳洲個果,,,,,,,,2,1
有無hehe想揾long term relationship,Anyy 1,Pmmm,Hi pm??,11,25,,,,,
有冇人想一齊練tennis,可能係我垃圾,都幾易嫁🤣,tennis係咪好易爛grade?,5,17,,,,,
有冇人去過日本exchange?,我都想知,,,,,,,,2,1
八字算命練手,Pm,Pm again,Pm,6,12,,,,,
有冇人想一齊UC high table 18/11♥️,求其坐低🤣,得我一個@@,自己搵位個下會尷d,4,20,,,,,
final year 開始搵工未,envt sci,已經有左offer 😅 加油,政府工？教書？,4,8,,,,,
大家溫書嗰陣最鍾意食咩🤟🏻🤟🏻🤟🏻,男友條丁,薯片叔叔,明治橡皮糖朱古力😋,2,6,,,,,
樹窿,當初我俾情緒影響左，搞到我做得好錯，亦搞到大家唔開心，好想番番去一開始，同你開開心心過住每一日，或者一開始就唔應該揀呢條路，或者當初應該陪多d你，或者聽你講多d...事到如今，呢段感情可能再冇辦法修補，大家都講左好難聽既說話，令我意識到原來一齊左咁耐，好多時候你都好難受，不過多謝你，你令我學到好多，分左手反而令大家都清醒返，希望大家唔會再有恨意，好聚好散。,,,,,,,,1,1
__,成日失億,反而係女朋友成日犯錯...,比條女見到，就gg 🤣🤣,11,19,,,男友成日犯錯係咪正常？,,
⛄️,你入到條link?,,,,,,,uc exchange難唔難入到？,2,1
Shaw Lane 19 Gööp GPA還神區🙏🏻,呢個我唔同班都係曾被控告非禮罪嘅大組長啫,shaw真係垃圾到狗也不 關係又亂,唔會reg hall🤩,9,29,,,,,
有冇係中大讀緊mphil/PhD 嘅朋友?,Can pm?,巴打/c da？,Public health ?😂,10,20,,,,,
Shaw Lane 19 Gööp GPA神社解咒區🙏🏻,"GPA未如理想嘅同學,快啲喺下面留言「大步檻過」好人一世平安～🙏🏻🙏🏻🙏🏻",,,,,,,,1,2
⛄️,有冇人怕凍，頂唔順rm開勁大冷氣機會泥啦，我就係呢D人我依家果個唔開怕凍,,,,,,,國宿換宿（男）,1,
sell hall,女,女宿定男宿？,UC,5,9,,,,,
有冇人賣下sem shaw女宿,Push🥺,最好2高🙈有意留tg,,,,1,2,,,
有冇中大私影雞介紹？,🐔,樓主冇揾人，係揾雞,搵人仲要叫人雞 你都幾惡喎,2,3,,,,,
有無大隻仔未瞓，餵下寂寞姐姐,Hi🙈,冇pm嘅？,Pm,9,12,,,,,
__,Haha,,,,,,,姐姐做女朋友真係好正😍,80,477
__,如果f 下個sem有冇得reg engg 1120同engg1130,知唔知佢地大概咩位🤧,如果拉curve計 1510 合格咪都係f range,10,19,,,有冇人知math1510易唔易f 就死,,
一人一個唔鍾意嘅學系嘅學生,政政。道德撚。成日以為自己好有料站道德高地judge人,咁我真係移民去同特朗普爭呀麻,係唔係做雞？,12,23,,,,,
__,其實同得fd嗔 啲fd都係淨係識講分手㗎啦 自己有幾鍾意另一半自己知 多數女仔都靜係信fd唔信佢男朋友 想知佢地當男朋友係乜 如果覺得太辛苦 諗吓其實點解當初會一齊,當時點分手？,同我價值觀幾似 好多嘢傾得埋躝 淨係唔想諗以後 我都唔鐘意諗 只係知道唔諗唔得 但佢唔想就真係唔肯諗 一齊之前邊知咁多,12,28,,,勸異性網友分手會唔會好仆街,,
我真係好失敗，連死嘅勇氣都冇,會唔會係你定嘅標準太高咋?🤔,當意識到自己的失敗先係邁向成功的一步，你睇下有幾多人連自己幾失敗都唔知eg 777,我都係啊，但係唔代表咁就要死,4,4,,,,,
☺️,師兄有宿賣？,Hi,Pm,4,5,,,有冇人賣uc男宿,,
放UC恆生女宿,tg: happyhall,Tg: smileeeehk,,,,8,17,,,
有冇人放ipad,Ipad 最好有埋Apple pencil,,,,,,,,1,1
有冇人知依家過左20:30邊間can仲有得食野？,同問 不過去緊UC,未掛,Uc,5,7,,,,,
Exchange 搵referee,Fnfh,"應該dept assign左個人做你academic advisor, 可以試下搵佢",,,,4,4,,,
大家同屋企人政見唔同嘈,我老豆淺黃 但我老母一時中立一時淺藍 我解析果陣佢聽就果陣好似明咁 但過一日又繼續講藍嘅言論 尋日講講下嘈左起來 其實佢地可能接受資訊唔全面 但我都係唔想自己屋企人講嘅嘢咁冷血咁無知姐 由自己父母把口講呢推嘢覺得特別痛心同陌生,,,,,,,,1,1
__,唔想坐監lol不過認真 戴口罩我係會大膽啲😂😂 起碼睇唔到我面紅/呼吸快左（不過有時避眼呢啲就遮唔到 始終都係awkward👉👈,戴個口罩會無咁明顯😂😂,🙈最主要係驚面紅姐 比人睇到我怕醜同自己怕醜分別差好遠,8,19,,,好驚單對單嘅社交，可以點算,,
我諗我死左，我父母唔會心痛,所以都係等有人會心痛先死啦,唉，我都覺得死咗都冇人會心痛,我嘅同學更加開心死喇,3,3,,,,,
放唔低,1,唉 分左手先想再扑多次，早知搞多D先,+1😭,6,15,,,,,
呢個時勢可唔可以唔好轉活動propic洗版,兄弟爬山,DLLM,政治上腦,12,10,,,,,
__,Pm,Pm,Pm pm pm 利申 初哥 😂,16,49,,,中大有冇羽毛球soc？,,
賣ihouse男宿位,sold？,求ih女宿,1,6,5,,,,,
放Fh /fn 書,放fn/fh 書，有意pm,still want the book?,Okk,17,23,,,,,
二宿調房 本地生roommate 有意pm,Hi,Hi,,,,5,7,,,
有無人知崇基教堂wifi密碼🤤,CC WiFi pw永遠係個迷,上次好似係i<3jesus,Yep🤤,5,7,,,,,
一人一個政政男神,Fm bb Wilkins,王昱然,Ivan ko for sure,21,26,,,,,
☺️,唔得,"sci fac 入面數精，物精果d一入cu就已經declare 左major, 例如我數精入，咁我仲可唔可以上phy chem果d系莊",,,,3,2,declare左major仲可唔可以上其他系嘅系莊,,
賣男宿,Okay,pm,,,,9,29,,,
中天傾四造票？,好似扮投票，但圍內DQ一個,咩事,,,,2,2,,,
sonia ng 做乜出嚟選?,🧐,🤔,lm,18,44,,,,,
段狗真係九唔搭八,佢閉門講野好過公開,今晚表現大家點睇,Agree,5,7,,,,,
[走讀摺友］有冇24area可以係中大打牌,百萬大道,,,,,,,,2,1
其實na啲院慶活動係幾時？,search完冇嘅😂,NASU掛 冇乜點留意過,suppose邊到會睇到啲資訊?,3,11,,,,,
讀bio有咩出路  就快grad求救,🤣postgra 唔係master咩,PhD應該讀唔黎 master得唔得,police,9,16,,,,,
中大有邊啲can/外賣係黃 要好好懲罰,日日食🤣,女工,好差架 我細佬食完盲左,17,25,,,,,
有冇同學有人DB Legends？,想搵人加好友練pvp,,,,,,,,1,1
"觀塘/藍田 點番cu, 番8點半",罷課啦,預啱時間74A啦 疏但係勝在穩定 當校巴搭囉 趕唔切74A可以考慮88轉72A有轉乘優惠,留意88X係半個鐘一班 同埋72經常脫班,11,12,,,,,
有冇港島cu人入黎圍爐,罷課la diu,同埋你整爛得佢，即係唔需要佢啦！坐巴士啦。,岩呀 依家努力緊,37,113,,,,,
今日7號有邊間can開,同問女工有無開,女工有冇開,地鐵站MX有開,10,15,,,,,
有冇人咁唔係藍，又唔係黃，但見到香港宜家咁樣好想幫下手？,一齊po吓ig，攞吓光環咪算,pm,I feel the same way!,13,30,,,,,
有冇絲打未訓,有assignment,大家加油呀 mid term嚟緊 都忙,仲做緊assignment😭,6,7,,,,,
賣本FN書 $120 無點畫過,FN書第二版修訂本 無點畫過 $120 係中大交收 有意tg: bbg12345,,,,,,,,3,1
有冇女仔pe reg左游水,想睇三點式,😂,👍🏼,5,8,,,,,
有冇人單拖沙田發夢,Pm,Pm,呢到公海 大家注意安全,6,9,,,,,
__,Fedex頭套？,戴套安全D,Day Day Mask as Civil Disobedience,6,7,,,全世界同我戴口罩,,
__,休啦，無人會阻止你。,go ahead,我好想 發生咁既事完全冇辦法第二日就去上堂 偏偏又有咩tutorial跟住又有功課present 次次去完發夢根本冇心機做功課 身心都好攰,8,3,,,有無人想休學🙁,,
有冇人喺mk想翻cu,死仆街 係女見到你都調頭走😀,旺角大埔紅van係通宵嘅 但係唔知仲開唔開,屌你老母,4,9,,,,,
有冇人試過late drop,嚴重嘅最好有,原因: 個prof嘅問題(自己揾片),一齊沽爆佢,9,17,,,,,
☺️,揾人一齊睇,,,,,,,有冇人想睇吹響吧？,1,1
二低女宿三人房 有無人要？,我啱啱wait 到 hi 未來rm 🤡,有興趣pm我,@carrielamsaupei,3,6,,,,,
有冇canteen今日有開?,大善堂,,,,,,,,2,1
遲咗交學費可唔可以唔交罰款,😢,已經過咗deadline,好似冇咁快收罰款 快啲去書院申請啦,3,7,,,,,
Fm圍爐區,男宿btw,ihouse can🤤,有意！,109,244,,,,,
想quit莊應該點做？,898，我有我quit莊嘅自由,當然要有禮貌，因為都係麻煩到人😥,基本上同個p同個group講聲就得,10,10,,,,,
CU有冇bdsm同好？,之前收過個女M 好懷念,火圈,Pm,10,15,,,,,
長期屈蛇，點樣唔比工友捉？,你邊間？,👅下袋底,好重口🤣🤣,8,8,,,,,
收uc男宿,留Tg,push,,,,2,2,,,
如果中大搞翻個CUHK Pride Parade，你想點搞,如果有社團我都想上莊呀，可惜冇人搞,想講 even 北大 清華都有LGBT 社團,lgbtq event我支持! 有時都諗點解cu冇lgbtq社團，,4,6,,,,,
高價買志文女宿,高價！！！！！,,,,,,,,2,1
LSCI 1002 Mid-term!!!🥴,3月10日,"Lsci1002幾號midterm?, 利申讀lsci1001",只係KB啲Notes無重點 係一本書,4,6,,,,,
放shaw男宿,Tg: Otoya101,https://t.me/aanth0,Push,3,6,,,,,
想夾band唱日文歌,😛come,🤣🙈🙈,can try try嘛,7,27,,,,,
廖廢西飛咗條黑妹就拖正菜？,邊個係黑妹？,lm跟進,,,,2,2,,,
__,連dumbbell都冇😑,"I house 2, 1/F",,,,2,2,I house block1/2附近有冇好地方做gym?,,
有無五高/明華想換應林?,我覺得冇,有想住應林既麻煩留底tg 我會搵你,,,,2,2,,,
想問下大中既野,week1 同 week2 係咪唔計 attendance?,,,,,,,,1,1
有冇人賣na女宿,有人賣請pm https://t.me/yyyach,,,,,,,,1,1
女追男係咪多數冇好結果？,多數friend zone，靚女另計,我男,男追女 定 女追男🤔,5,7,,,,,
有無哥哥今晚帶我夜遊暴大？💦,Pm,Pm,Pm,14,14,,,,,
（SHAW)有無人wait到宿想國宿掉二宿,推,幫推,Ar!!!,3,7,,,,,
想讀Mphil,而家讀緊undergrad之後想讀mphil 想問吓有冇咩途徑可以揾到professor跟佢試下做research攞經驗？,,,,,,,,2,1
有冇人想去做gym但淆底？,加支美極,肥肥地，正😎,表示手腳不協調更淆😂,3,4,,,,,
__,📷,中大人x連儂大道日期：25/9（三）2200開始今日和理塞善can活動宣告成功👏🏼善can廚房直接收爐，成個lunchhour基本上冇人買到野食🙌🏼 今次證明和理非既同學有投入參與活動既方法，絕對可以發揮佢地既影響力架！既然係咁就唔好俾佢停！我地再下一城，call齊人係百萬大道痴條屬於中大人既連儂大道🖖🏼概念可以參考君堯之路😎😎大家可以幫手帶牆紙粉、膠水膠漿、膠紙、膠桶、掃同memo紙！文宣都已經印定哂！等你地黎幫手痴咋！叫哂你地同學，omate，roommate，組爸媽仔女一齊黎參與啦！,,,,2,2,星期三，連儂大道！！！,,
大部行疑難,正,OK呀,😃😃😃😃😃,16,58,,,,,
有冇人知shaw宿個按金有冇退翻？,🖕🏻,今個sem又要我交 但係11月先退,打去問過話11月開始退,2,3,,,,,
敬文荀盤,唔係敬文 wanna pm?,小妹想揾敬文神科男荀盤😍有冇介紹！,,,,2,2,,,
賣ihouse1男宿,有意pm,,,,,,,,2,1
認真問，中大有咩活動/學會係多d男仔參加,大隻仔😍,sci fac表示 男女比例同UST有得揮,😨我哋係咪身處平衡時空,8,11,,,,,
瘦高巴招女,推,如題。一個人係hall好悶，上黎我間房傾計或者玩丫,,,,1,2,,,
有無UC女appeal派左陳宿？,有冇陳宿既想轉湯宿,Hiiiii,https://t.me/lwou6,3,5,,,,,
賣ihouse1雙人房男宿位,pish,Tg pls,Pm,4,4,,,,,
想問 ifaa系莊點 join??,新一屆已經成莊了,,,,,,,,2,1
5月21號生日,"有冇人都係5月21號生日？做個fd, 男仔女仔都ok😉一齊慶生😜",,,,,,,,1,1
中大電影幾時傾莊,中大電影有冇soc房,想聽Detail ， 定逸電...,暗soc? 係咪堅？fm 咩都唔知,6,5,,,,,
高價收和聲卡,高價收和聲卡,,,,,,,,2,1
__,Health sci 嗰啲就。。。,唔係學霸表示都係鯨吞major notes算,唔輪到我做😂,8,12,,,有冇med fac既學霸可以分享下溫書/聽書方法😭,,
和聲男換roommate,所以我咪睇下會唔會有正常人咁啱想換房 癈事搞到咁僵,我都係俾下意見同搞下笑，不過你換rm 就要認真諗諗衡量下啦😄,又唔系勁不過就忍唔到d on9 野囉，我都算容易相處，不過總係有d 仆街,2,14,,,,,
Shaw女宿換男宿,我tg左你！,https://t.me/Hallhallhall123,Pm左,5,37,,,,,
買志文女宿位[高價],Final year想有宿住有無人肯放志文宿位價錢絕對可以傾淨係放sem2都OK,,,,,,,,2,1
聽日cu藝墟,書院甜品莊😂,其實我都唔係好清楚 🙈🙈🙈fm一個,有咩女性化嘅soc?,3,15,,,,,
Dcard 點認證？,"我最近download dcard, 想問下係點認證架？我已經俾左學生email 佢？仲需要俾咩佢先可以玩到緣份配對？而家打個留言都打唔到",,,,,,,,1,1
邊度有臨時locker可以用？,推 cu有冇大locker放得落結他😢,想喺cc範圍揾位擺下嘢:(,,,,2,2,,,
有冇國宿女仔想轉二高？跪求,Pushhh,Pushhhhhh,pushhhhhh,3,5,,,,,
放 mgnt 1020書,ok,pm,pm,4,9,,,,,
Shaw邊條女最正🤭,想知+1,笑左🤣🤣,關你撚事咩,10,11,,,,,
Ugfh reflective journal 點寫,輕輕鬆鬆,其實都係跟題目要求同rubric,畫個半圓向下揮,3,4,,,,,
跪求Shaw女宿 有意賣宿請pm!!,有意請pm https://t.me/snow0916,,,,,,,,1,1
想問大家睇readings會唔會jot notes 定係睇完,唔會睇reading利申社科,利申社科,,,,1,2,,,
我想問依度有冇讀ifaa既人😭🙏,oic thx,Library 個網會有centralized examination (即係學校official exam period嗰段時間考)嘅past paper，如果唔係centralized ，就要搵高yr嘅人問,原來係咁😱😱😱😱,7,20,,,,,
high table dinner係點㗎😅第一次reg,因為我本身有野唔食得，所以想問清楚啲,1,要着shirt at least 都smart causal,2,11,,,,,
__,龐can the best,In cc can we trust,On9 shaw can 🤣,93,127,,,邊間Can最好食？,,
WYS 搵個local rm 男,push,Push,有無人,3,4,,,,,
放低你遇過最仆街既人個英文名,Jessica,有幾多個jason 🤣,agger,49,6,,,,,
__,推~,可以放得落結他嘅利申冇宿 冇soc房😢,,,,4,2,cu會唔會有大locker借?,,
放國宿女宿,仲放？,Pm,https://t.me/Hallhallhall123,3,3,,,,,
求ugfn書,Sorry 已放FN書,點pm,有FN書 pm我,3,4,,,,,
和聲男換大陸rm,push,push,和聲南座有無人都係大陸roommate 想同local同房,1,3,,,,,
有冇UC人打牌,利申冇枱,,,,,,,,2,1
收fh上下冊 70兩本 有意dm,Pmpm,收fh上下冊 70兩本 有意dm,,,,2,2,,,
有冇女仔想國宿調去二低😏😏,🙈🙈我4樓㗎，只係見二低原來都有po先入嚟圍下爐,我都係二低,Come find me 😂,3,5,,,,,
__,想問下仲有冇宿放,求新亞女宿,收女宿位 tg : cu_hall 🥺,6,7,,,有無人放新亞女宿？,,
係咪有football club?,好似嶺南場 星期四晚有人踢？,但係好似冇足球學會 得足球隊,想 join,3,5,,,,,
放FN書,Wts 62123798,hi 想要~,附送通識教育優秀論文集,2,3,,,,,
想買和聲女宿🙏🏻,pm,hi pn,,,,2,3,,,
和聲女宿/蛇主,有無賣和聲女宿or蛇主（我yr3)🙌🏻,,,,,,,,1,1
Ihouse 1 換房/宿 女 國際生宿舍,可pm,我係女仔 btw,我住ihouse1，roommate香港人。有無人roommate係外國人想換房? 可以contact我,1,3,,,,,
求uc 蛇主女,Up,Tg me: yayyay123,,,,1,2,,,
放恒生男宿sem1,Ym_rugby,留tg,,,,3,2,,,
求Shaw二高女宿！😭🙏🏻,"收宿 男女宿都ok, 我自己會再過 thxhttps://t.me/Hallhallhall123",你去2宿counter塊board數下就知，依加得440個人住左右，2宿有640左右個宿位，姐係遲d會分多200個位出黎,何以見得🤣,4,7,,,,,
有冇shaw宿waitlist收到通知？,你地差幾多宿分？,,,,,,,,1,1
[Shaw] 有冇人想由國宿調去二宿,收shaw男宿有意pm,啱啱wait到二高4樓想調去國宿住最好係高座 但唔係都唔介意淨係想住國宿😭有意留tg傾呀thanks,,,,2,2,,,
"志文想轉學思,入咗宿仲有冇得轉？",買定換？,我有志文可換,求志文女宿,5,7,,,,,
收 UC / NA女宿位 價錢可議,有意請pm: https://t.me/lwingp,,,,,,,,1,1
有冇中大/新亞反送中討論tg grp☹️好想係tg傾,冇,老鬼pmed,其實個gp唔係淨係NA人先入得，大家有冇異議,11,19,,,,,
☺️,PM,I mean single dog😂,Crystal條仔個friend?,7,16,,,有冇人想認識一吓稀有物種->yr4 a0?,,
UGFH Lui Wing Sing,召集lui wing sing打手,有無人可以share FH Lui Wing Sing 嘅course outline🙏🙏🙏,,,,1,2,,,
有冇人玩過ubuddies,如題？Chur唔chur 同埋伏唔伏,,,,,,,,2,1
中文大學工程學院迎新營爆性侵。,「CUHK Secrets」上周爆出迎新營中有女生疑遭性侵，根據《中大學生報》跟進報道，事件發生於8月15日，受害女生在清晨約5時回房間就寢，約6時因感覺大腿有冰冷感覺醒來，發現大腿位置有一大灘精液，女生事後報警求助。報道指警方以非禮罪立案調查，已到涉案房間蒐證，包括套取指紋，暫無人被捕。根據「香港中文大學工程學院迎新營」Facebook專頁，有關迎新營在本月14日至17日舉行，共4日3夜。《中大學生報》指，受害女生在案發後通知其所屬組別的女新生輔導員，及後有迎新營籌委會成員接觸事主，但事主當刻未有決定報警；至同日（15日）晚上，事主終於決定報警，並在籌委會成員協助下到警署報案。報道引述女事主指「一開始籌委會希望低調處理」，至報警時才有學生事務處、保安處職員幫忙及跟進。對此，中大工程學院迎新營Facebook專頁昨晚發表聲明，指籌委會在得悉事件後已通知校方，並按照學校提供的程序處理。《蘋果》就報道向警方查詢，正等候回覆。,,,,,,,,1,1
放紫霞女宿,仲有？ ☹️,仲有冇？😔,still have？,8,25,,,,,
點樣由Lady Shaw落王福元最快？😭,6a6b7,轉堂特別多人,試過喺lsb趕尾班黨鐵，去范克廉隔籬起步，黑媽媽跑小橋流水，落到大學站5分鐘有找,7,10,,,,,
放UC恒生女宿sem1,Push,有意留tg,,,,1,3,,,
有冇人有FH書?,Still have ?,Still hv?,我有 可以放,4,3,,,,,
放fh 書,放咗比fm lu...,Still hv?,有冇人想要fh書，pm,2,3,,,,,
Uc assembly,下次揀番lor,有乜好放,會唔會有人放 😭,2,4,,,,,
"收acct 3161, fina 3080書",.,.,"""",1,6,,,,,
和聲換大陸roommate,pm 我都係😭,和聲南座有無人都係大陸roommate 想同local同房,,,,2,3,,,
收ugfh書！,i want fh tg：willbeor,help,,,,1,2,,,
Math1550易啲定math1030,咁我swap先,1030易好多,😭year2唔知reg邊個好,2,3,,,,,
__,pm,和聲南座男二人調南座男二人而家roommate 早訓比較摺唔多講野自己比較好動唔係好岩依個roommate平時大約2-3點訓 會打下機 彈下結他咁 想搵個會平時得閒講下野嘅roommate🙏🏻,,,,4,2,和聲想調房(南座二人換南座二人),,
求放FH 書 （中文）🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍,有冇多一本🙇‍♂️,我有 pm我🙆🏻‍♀️,Sem 1 救FH書有冇師兄師姐有🙆🏻‍♀️。,3,3,,,,,
☺️,need it,how to contact you,買一送一！,3,6,,,有冇人可以賣FH第四版俾我,,
分手後一個月有新仔唔算好雞啫？,咁你就預咗俾人話啦,冇所謂啦，大家一齊傾吓,pm傾？,5,12,,,,,
想知點入吐露詩社,好似係喺Café Tolo搞傾莊,有冇幹事指路,,,,3,2,,,
紫霞仲有冇人未有rm？,push,push,,,,1,2,,,
搵人regular 咁摺拉把,PM la xd,Hello!!!,Halo!,21,31,,,,,
__,唔係冇回應，係冇答應你啫。,Apply咗佢無回應係咪夠人 定唔請,黑起上黎 成晩一個case都做唔倒 旺起上黎 多到你唔願做都得,13,17,,,有冇做中大電話訪問嘅人？,,
soc sci fm想問大英第一堂會講咩？,"廢話,廢話,and廢話",我罷左第一堂😭好淆想問第一堂講左乜同埋黎緊第二堂有冇話會做乜/要帶乜？Thanks all 😭😭😭,,,,2,2,,,
搞乜暴大都咁少人跳閘？,跳閘救港😡😡😡,Push😡😡😡😡😡😡😡,大家一齊跳,5,6,,,,,
shaw換宿(女),dm plz,最好係7f,3f想swap房,1,5,,,,,
__,pm,你賣？,,,,4,5,有冇人賣和聲男宿,,
中大新傳最Yo教授,邊個comm老師最yo 最好 最靚grade,,,,,,,,2,1
紫霞招rm,hi,hi,Reached out! ☺️☺️,4,11,,,,,
__,係咪你啊,Pm,志文換紫霞可以搵志文大組啲人問下,4,7,,,NA 有無女仔放紫霞😢？可換,,
求買女宿，有無人收蛇或者賣宿？有經驗！,屈蛇咪得😂😂,女點入男宿？,全房自己瞓晒先有興趣,4,13,,,,,
【知行】高價換二人房,價錢可議,Push,Push,4,5,,,,,
想問吓蛇床邊度買好啊🤤,Ikea,實惠嗰啲好似幾好 但床褥有少少薄 大家有咩其他好嘅蛇床推薦🤥,,,,3,2,,,
狗鐵以外交通分享處,港鐵以外到達中大之交通工具及路線詳情：巴士九巴72 長沙灣 深水埗 沙田 大學 太和（下車：赤泥坪或香港中文大學）九巴72A 大圍 瀝源 大學 大埔工業邨 （下車：赤泥坪村）九巴73A 沙田 火炭 大學 粉嶺（下車：赤泥坪村）九巴74A 啟業 黃大仙 沙田圍 大學 太和（下車：赤泥坪或香港中文大學）九巴87K 馬鞍山往大學站 循環線（下車：大學站總站）九巴289K 富安花園往大學站 循環線 （下車：大學站總站）小巴28k 沙田往大埔 循環線 經大學四條柱／崇基門（下車：赤泥坪）807A 馬安山廣場往大學站 （下車：大學站總站）807X 烏溪沙往大學站循環線（下車：大學站總站）,黃大仙去中大 唔撘狗鐵 有咩方法？歡迎大家分享其他地方同中大既交通 協助大家罷撘,,,,2,2,,,
__,Oic 我係fm 😂😂,好似year1冇,Shaw果個好似唔見有既...,8,19,,,有無人住過i house？,,
__,知行三人房 ok嗎？,我紫霞想轉知行，pm,我知行，想換紫霞,8,15,,,抽到知行，想換紫霞,,
有冇大學Maths notes/ex 可share?🙇🏻,😂,讀數學既人喺e個世界上只係好少數，咁你可能唔使教都得la😂😂,🙈可能有啲天真 哈哈,8,40,,,,,
同心儀對象無話題可以講... 點算,搵話題講,,,,,,,,2,1
有冇人學思未搵rmmate,hello,Push,想搵會收蛇/臨宿rmmate,1,3,,,,,
有冇uc女想由恒生轉去伯宿,你seems del左tg?😂搵唔到你,,,,,,,,3,8
五低say個hi!!,Nursing 呀,我讀soc sci broad based 你呢,Fm💕💕,4,6,,,,,
額外加$8000買紫霞女宿,好想要女宿😢😢😢求放,,,,,,,,1,1
想知蛇玩唔玩得hall o,咁冇宿去玩得唔得😂😂😂,得,shaw喎,4,6,,,,,
