参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
收ACCT4710 final project source,pm,Pm,pm,1,6,,,,,
收math 1013 source,Pm,Pm,Pm,2,34,,,,,
收comp2011 pa3,ching識玩。係我就放晒一樣嘅俾佢地。等佢地互相plagiarism,Unique 一份,放1k 請pm,1,9,,,,,
想知ust有冇女仔係a0?,pm,小妹A0可以同你地talk，$100per hour 有意pn,小妹a0…,4,59,,,,,
放fina3103 abhiroop source,pm,Pm,Pm 有quiz + mock exam,1,16,,,,,
收Fina3103 Final PP,hv,Pm,Pm,1,5,,,,,
Acct A+ source ~,Pm,Pm,Pm,1,34,,,,,
__,pm,放source,Pm have source,1,4,,,收 Lifs2700 Hirano source,,
Sbm Drop 2nd major 一問,好 thanks,"唔會,mcga 先會",想問有冇人知drop 2nd major 會唔會重新計過gpa,1,3,,,,,
收Huma1000b sources,pm,Pm,Pm,1,23,,,,,
放Huma1000A Quiz,Pm,Pm,Pm,2,68,,,,,
放huma 1000a quiz,Pm,Pm,Pm,2,16,,,,,
Final year 壓力抒發區,啊啊啊啊啊啊啊啊啊啊好大壓力啊 又要追成績又要搵工,,,,,,,,1,1
收fina3810 asm1,Ams 2 pm,Pm,pm,1,6,,,,,
Sosc 1840,係咪淨係考lecture 7-12 ??,,,,,,,,1,1
phys1112 final pp plz pm！🙏🏻,plz,,,,,,,,1,1
有冇人要grammarly 1蚊1日,我一毫子俾你,我五毫子俾你,撳信封,1,6,,,,,
LG1 canteen食堂食出塗層,Around 25%,我都少食，自從早餐加左$8,Report,1,14,,,,,
放Acct 3610 source,I have all,Pm,我有 PM咗你,1,22,,,,,
平放CIVIL 1160 source,have zhao yutian final paper,Pm,Pm,1,6,,,,,
Lang1004 podcast,pm,Pm,pm,1,4,,,,,
想找人抱抱（巴），或者study partner,可以pm我，給1個抱抱,明白嘅，有時人生低谷時會感到絕望會好難受,PM?  SENG,1,5,,,,,
求CENG4670 source,Want ceng4670 final source,求source,Same,1,4,,,,,
招sosc1662 past paper,想要,今日考試啦最後機會！300,同求,1,10,,,,,
CS有冇女,有偽娘,有,有,1,3,,,,,
Congregation 播中國國歌會唔會坐低,點都好，我會坐低，尊重番自己同身邊嘅人,,,,,,,,2,1
MATH 1013 問數討論區￼,建議畫返f(x)幅圖出嚟 搵返啲area就得,有冇人知綠part 點cal,,,,4,40,,,
Cal機入式有冇人埋,又有人覺得自己好好笑,記lecture notes入腦去考試有冇人check！急問🙏🏻,有,1,7,,,,,
想知engg3960類嘅course可唔可以reg?,Ching 你究竟做咗啲咩,高過我了,利申 B+,1,14,,,,,
SU招莊會,咁話人踢波廢係咪都要踢波好叻然後入球隊先得？你班友啲邏輯真係出奇到笑,Goop班鍵戰成日屌人唔做野不如自己去上？,,,,1,2,,,
有人跳蘑菇？,呢個就係行拉curve，而唔行absolute grade嘅後果,,,,,,,,4,28
收huma1000A source,Pm,pm me if need,Pm,2,38,,,,,
急收ELEC2350 Exam paper source,有請pm me,,,,,,,,1,1
sosc 1662 Quiz 3 組隊,pm,Pm,有意pm,1,3,,,,,
收SOSC1470日本final pp,Pm,,,,,,,,1,1
收winter hall位,價錢可議 男,,,,,,,,1,1
Comp1021 Midterm,有野想問 Please PM,pm A+ 有proof,can u help comp1021 final exam,1,29,,,,,
Comp 1021 越嚟越平 唔敢買平嘢😂,I Hv this sem $10 pm me,On9仔,,,,1,2,,,
MATH 1013 HW8 Problem 9,Think about the right endpoint,Empty guess,But how to get this ans,1,8,,,,,
平放comp2012 lab8,.,pm,放，pm,1,3,,,,,
工程有無winter intern,pm,pm,有無人報到可唔可以pm我 有野想問下你,2,3,,,,,
elec 1200 hw,q2點做,,,,,,,,1,1
comp1021 lab5,Pm,Pm,pm,1,21,,,,,
想問下 check plagiarism 個pw 點拎?,係咪好似話入library 個網可以攞link定點？ thx,,,,,,,,1,1
收mgmt 2010 Integrated Task,pm,pm,Pm,2,10,,,,,
收CENG4140 source,未,0,4,1,84,,,,,
求isom3540 source🙏🏻,有請pm🙏🏻,,,,,,,,1,1
SFAO scholarship 係咪騙局？,報政府果啲，易好多,@🐱,多少少錢嘅scholarship都俾3.7+嘅人攞得七七八八除非有比賽之類嗰啲如果唔係淨係一句first hon唔代表係咩 個range咁鬼大淨係啱啱好cga3.4 mcga3.6 係top但會話未夠囉,1,21,,,,,
有冇人想夾份買bsu welfare product,📷,有既dm我,,,,1,2,,,
放huma 1000b source連quiz,放，pm,,,,,,,,1,1
__,Pm,pm,Hv,1,10,,,求MATH1013 year1 final practice,,
comp lab交功課問題,直接無左10幾%,遲交無了,遲交即係冇交，即係0分,2,8,,,,,
工程year幾先有你嘅第一份major-related實習,好勁,"F.5 做過software developer。 果時自學加比賽。 啲中學校友開公司翻黎學校,分享比我r到intern。","Yr 1 summer do HKT intern, 未派maj收咗, 而家elec maj",13,55,,,,,
放ISOM 2500 source,Have Mike So source？,pm,Pm,1,8,,,,,
平放Math1013 sources,pm,pm me for sources,pm😭,2,12,,,,,
平放MATH1013 2021 Fall source,pm,pm,平放,1,6,,,,,
收fina2203/2303 Peter歷年midterm,Pm,Pm,pm,1,16,,,,,
其實有冇人真係試過mt exam 拎lowest,I know the person who got lowest in phys2022 mt this sem,今日的我已經唔同左,"但係你2011都溫完below 2sd喎2023難幾倍😂淨計content mt已經係2011 final, 仲要問法難好多已經retake咗pass咗啦",4,35,,,,,
放comp 1021  Tailor-made lab 5,Pm,Pm,pm,1,46,,,,,
exchange一問,好奇有D咩趣聞趣事,佢執着於幾隻字其實冇錯，如果個幾隻字嘅expression 啱，咁佢又真係deserve個幾分啊，點樣得到分數但得唔到知識？,嘛 因為D 無聊嘢而拗兩個鐘就。。。,3,17,,,,,
Cls 一開goop全版都係comp1021 lab5,不過認真嘅話google下 問下ta 就得,no,你做Lab 5嗰時有冇去Lab Section問TA？,1,27,,,,,
COMP 4900 一問,想問下如果上個sem去過ENGG2010 ENV workshop A，今個sem再去ENV workshop B會唔會計落ENGG2010同COMP4900嘅attendance?,,,,,,,,1,1
聽日陳蕾嚟科大,真的嗎？,ltb對面scihome,所以最尾喺邊度搞,4,26,,,,,
[真係免費] 有COMP1021 MT PP (連答案),pm🙏,pm,,,,6,247,,,
Math 1013 webwork 求救,Does anyone know how to solve it? 🙇‍♂️,📷,,,,1,2,,,
有冇人試過late drop comp1021?,同問,Sls,Sad,1,7,,,,,
Engine RS Innovator要人,interested pls pm,有,有冇多啲 Details? 可以 PM,1,6,,,,,
Comp lab5 求救,Pm,$80 收 ans,有冇人識做crazy music🤦‍♂️🤦‍♂️,1,3,,,,,
fm 好灰,pat pat,抱一抱,想jump，你哋可以期待聽日既新聞,1,9,,,,,
Comp lab 5 $80 full answer,Pm,Pm $60 send u,Pm for solutions,1,15,,,,,
收phys1111 source,平放 有興趣可以pm我,Pm,Pm,1,7,,,,,
Want to play 羽毛球,"If u see my message, plz pm me","Can u pm me, I dun know why I cannot pm u",pm,1,7,,,,,
收civl1160 source Ben chan,Pm,Pm,,,,1,17,,,
想知UST 依家仲有冇 design 讀,Thanks,你碌落啲 應該有22-23 intake 既,但係我上網睇 syllhus 佢話 課程係for 2017/18 intake,5,,,,,,
收 LABU ppt and sources,"🙏🏻pm please, just wanna learn more about case comp things",,,,,,,,1,1
__,Pm,Pm,Pm,1,35,,,收ceng1600,,
收 comp1021 music lab,pm,Pm,Pm,1,7,,,,,
幾時有蛇飛,有冇小道消息,我都想知,,,,2,2,,,
Comp1021 lab5,鬼唔知你啊媽係女人,Pm,Pm,2,15,,,,,
放huma 1000B quiz2,Pm,Pm,pm,1,22,,,,,
收mgmt4210 source,Pm,Push,Group project 同埋 Individual assignment 🙏🏻🙇🏻‍♂️,1,3,,,,,
接中Lang代寫,push,手快有手慢冇 先傾掂先寫,,,,1,6,,,
有冇同學星期三一齊睇陳蕾 ？,Gchi,想知係咪walk in ?,PM,1,3,,,,,
已炒,Year1 maths course黎,good morning chan tx yxx,,,,1,10,,,
Acct 3610 source,Pm,Pm,Pm,3,65,,,,,
今年lang堂係咪唔使take attendance?,有take,,,,,,,,1,1
收econ2123 Marc Dordal Carreras,Pm,hv testbank,pm!,1,11,,,,,
Acct3610 writing assignment,"I have, pm",Want case 2 plaintiff,,,,1,65,,,
有冇人有ACCT3610 case1 plaintiff?,Pm,Yes,Pm,1,42,,,,,
放ACCT 3610 A+ source,Pm,Pm,,,,1,46,,,
平放3610 source,Pm,Pm,Ok,1,23,,,,,
自學python,其實我都覺😂不過學校教 Python Turtle,係自學都唔係學turtle啦 浪費時間,好過ust 1021幾條街,1,10,,,,,
收SOSC1960 MC final exam source,🙏🙏🙏🙏,如有請PM,,,,1,2,,,
收Acct2010 Final Patrick Leung,push,,,,,,,,3,1
Acct3610case4jonesv(plaintif,收acct3610case4 plaintiff jones v padavatton,,,,,,,,1,1
ELEC 1100 Final,Easy peasy 爛grade squeezy,點解咁L難,已含,1,11,,,,,
__,Pm,Can pm?,pm,1,11,,,收lifs 1902 sources🙈,,
科大會唔會炒火博士？,https://hk.news.yahoo.com/教授有機化學遭學生投訴-爛-grade-84-歲學者遭紐約大學解僱-045211039.html,http://mhvlive.com/forum.php?mod=viewthread&tid=6077&page=1,https://e123.hk/news/225321,3,25,,,,,
Lifs2210 出分未,不如email問佢究竟會唔會出,Me full mark but dk mean,Email professor,4,10,,,,,
收isom 2700 Lijian Lu source,Pm,pm!,Pm,1,21,,,,,
收lifs2210 pp,Pm pls,Pm pls,hi have,1,8,,,,,
__,Final have ans?,have Cheung Kwok Yip?,have 5 years final + all asm + testbank all chapters with ans,1,4,,,收Acct 2010 pp,,
請大家不要post自己的分上goop，最多poll好了,Agger🚬,假膠好多，你依種形式真係唔知道點分類。可能你係真係on9,咁高 我得3分...,1,18,,,,,
收hall4 / hall5 男hall位,推,Pm 議價,,,,1,2,,,
求Math 4432 Source,請問係咪有source?,TG @lovedog0101,,,,1,13,,,
Lang 1117C 有冇人幫手寫,A+ sources，pm if you need,"A range last year,  can pm",Pm,1,13,,,,,
平放Fina2303 Peter Mackay source,pm,pm,Pm,3,11,,,,,
放fina2303 Peter Source,pm,pm,dm,1,6,,,,,
收envr2020 Gu Dasa quiz2 pp,利申：對過,有上年hw final，唔係gu dasa 但係同gu dasa 啲卷8 9 成一樣,自己出價🙏🏻,1,3,,,,,
一人一個fina 靚仔,Ricco,後門狗,點可以漏左鹿島mokvincent,25,118,,,,,
Danso 個Banner 少柒,建議用返英文咩叫釘嫂Danso就danso la,,,,,,,,1,1
Civl1100 求救,Oh. Ok thx,"In square of p(t) from 0 to T. Divided by T, that's mean of squared p(t). Take the square root, so it's root mean squre",📷,1,4,,,,,
收 isom 2010 XU Hong sources,Pm,pmpm,pm,1,41,,,,,
收fina2203 mackay peter source,pm,Pm!,"Have all mackay peter all quizzes ,iprs, mt and final with ans",2,140,,,,,
我收Sosc 1960,Have source,Pm,Pm,1,13,,,,,
ELEC4320組隊,Push,Push,Push,1,4,,,,,
SFC winter intern,+ 1 冇消息,+1冇消息,1,5,4,,,,,
Math1003 grading,我有考mid term但全錯，得0分😭,係咪85 A range，95 A+?,,,,1,2,,,
一人一個fina靚女,wfc,你三條撚樣都幾撚煩,,,,1,3,,,
彩虹站邊到可以搵到廁所,搭多個站去鑽石山,仼何一個草叢,C出口大家樂隔離有廁所,3,6,,,,,
收Lang 2030,pm,hv case 4?,"Pm me , I need case 2 A range",1,6,,,,,
收math2350 pp,pm,Hi,Pm,1,5,,,,,
Mark3220 Individual Assignment,p m,Pm,A range pm,1,6,,,,,
搵人夾netflix~,搵人夾netflix~,,,,,,,,1,1
收math3033 hw3 ans,我想收啊,hi 你有冇ans,push,2,4,,,,,
Pwc winter audit intern,Yes,有冇人都收到offer? 😃,,,,1,2,,,
2023 Winter exchange,Hi,Dm,一定要去佢地個沙灘睇日落,1,30,,,,,
有無engine想一齊join competition?,.,pm,Pm,1,15,,,,,
MGPA會唔會寫喺transcript上面？,有啲唔抵，我option track 啲course好grade 過初初入嚟嗰陣，但option track唔計MGPA🥲,會,想知grad嗰陣，MGPA會唔會寫喺final transcript 上面？,1,3,,,,,
迪士尼年飛差一個,still available?,有？,,,,2,3,,,
收acct3610 sosc 3130梳屎💩,收acct3610 final report Davis contractors ltd v fareham udc plaintiff pm,收Acct 3610 final report Williams v roffey brothers and nicholls plaintiff pm,,,,1,2,,,
1102定2101？,Still need?,pm,i need your source bro,1,9,,,,,
BlackRock,May I know what pos u applied for?,last fri received,,,,1,5,,,
有無人覺得 liba 啲凳好唔舒服,咁你番屋企,,,,,,,,1,1
2111 midterm score,0,10^10,200,1,9,,,,,
Math1013報grade區,呢個舊post嚟㗎喎,有,overall 95有冇A+,36,93,,,,,
徵求Lifs 2060 Ice Ko Noted,我想要 pls pm🙏🏻,,,,,,,,1,1
放2011 pa2,Pm,sor 幫你唔到，check plagiarism 會gg,pm,3,15,,,,,
Lonely,Pm,pm,Pm,1,7,,,,,
year2想知acct maj嘅係咪都係學渣,你都就嚟酋頭🫣,有研究發現酋頭毒撚都特別on9,有研究發現過咗今日就係聽日,8,32,,,,,
Math1013 Grading,100,我0分😭,ching 下個sem retake la,2,5,,,,,
收2011pa2,Ez,珍,再埋睇返啲order,1,9,,,,,
依家係￼歐洲exchange 又想一齊旅行嘅￼pm,🥹有冇人想一齊去啊？,,,,,,,,1,1
Ust個擔擔麵真係好好食arrrr,下次試下,簡直係囉黎餵狗,寧願帶飯。。。,1,43,,,,,
收mark 3420 source,pm,Pm,Pm,2,6,,,,,
SU派福利咁大件事都冇人講？,上年剩既，要比錢買淘寶貨,聽日可以去su counter check,點睇自己係咪su member,2,22,,,,,
Math 2111 grade 已出,其實我覺得佢廣東話都有少少㪐㩿，可能係本身有口吃不過私底下問佢嘢都真係好用心教嘅，而且俾佢講廣東話一定易明過英文,真,L4 mean低 L1 成10分，CLS,4,55,,,,,
做gym都要book係咪戇鳩,樓主朋友係咪弱智？,做gym唔使book 你知唔知你ust有幾多人阿小朋友？😅,所以話usy個gym係囉黎敷衍我地lol,4,8,,,,,
T,Hall3 Fina Ben yip,有冇圖😂,,,,23,73,一人一個科大男神,,
ECON2103 PP,Pm,Pm,Pm,1,17,,,,,
ELEC 2400 study partner,Pmed,,,,,,,,1,1
Liba LG3女廁門口搞咩有popo?,咩事,色色女同學？,pish,4,10,,,,,
__,啲limit mc，如果計數機直接屈機啦🤧🤧🤧,咁簡單嘅數仲要計數機？😅,exam有計數機既話你咪洗旨意落到筆,4,101,,,Math 1013 等炒區,,
收comp2012 final pp,收2020/2021年 final pp,,,,,,,,1,2
收一手airpod,pm,pm,pm,1,13,,,,,
收Math 1012 source,Pm,Pm,"Have MATH 1012 all hw solutions and tutorial notes, mt final pp with solutions, pm if need",1,5,,,,,
急招 Elec2400 homework3 partner,Pm,Pmed,Hi,1,3,,,,,
科大校歌？,放て!心に刻んだ夢を 未来さえ置き去りにして限界など知らない 意味無い!この能力(チカラ)が光散らす その先に遥かな想いを歩いてきた この道を 振り返ることしか出来ないから…今ここで全てを壊せる暗闇に堕ちる街並み 人はどこまで立ち向かえるの?加速するその痛みから 誰かをきっと守れるよ,主撚鳩，主撚鳩，我知祂撚鳩，我知狗主撚大領我經過一切。主撚鳩，主撚鳩，我知祂撚鳩，我知狗主撚大領我經過一切。祂醫治破碎心靈，使被擄者自由，祂使瞎子再能看見，跛子再能行走。主撚鳩，主撚鳩，我知祂撚鳩，我知狗主撚大領我經過一切。,sls不如START:DASH,6,10,,,,,
高價收isom3400 in class ex 答案,pm,pm,pm,2,5,,,,,
收elec1010 pp,Pm,pm,pm,1,9,,,,,
收 Econ 2113 source,Pm,Pm,"have testbank, all asm ans, all quizzes ans, 5 year past exam paper (2017-2022), all tutorial with ans",1,7,,,,,
HKGCC case comp招人,唔洗,Team members 係咪一定要同一間U?,仲有無招人？,1,13,,,,,
__,https://registry.hkust.edu.hk/resource-library/testimonial-current-students,最正式既文件叫”testimonial”,正常如果係收左你 會有email通知你 上面會有你全名同讀咩 print嗰張野出嚟就得,1,7,,,點申請科大在學證明？,,
☠,雖然希望唔大,或者你宜家send email求情，或者有轉機,你當買左個教訓,2,10,,,COMP1021 lab late submission,,
Isom4750,Pm,have,收project source,1,9,,,,,
想出poollllllllllll,Pm,,,,,,,,4,1
Ecof or Fina,讀緊math1003，ecof啲數會唔會追唔上,我地fina冇乜數計 好渣,,,,1,13,,,
Isom 3230 study group,Pm,Pm,Pm,1,11,,,,,
收 Lang 1117C source,pm,pm,是咪有source,1,7,,,,,
收COMP3021 PA2,pm開價 thx,,,,,,,,1,1
收SOSC1980 Group Project Source,"有, same project topic",有嘅歡迎pm,,,,1,2,,,
Huma 1210 source,題外話：有冇人知平時上堂坐中後位置戴黑色口罩嘅男仔個ig,No,有冇人有 huma 1210 film review source?,3,,,,,,
LANG1004 quiz 3 long question,Anyone has the long Q for LANG1004 ? Thanks,,,,,,,,1,1
弱弱一問申請transcript係唔係一定要covering,弱弱一問申請transcript係唔係一定要covering form?? 我見佢個網站喺covering form 隔離有個information (i) 嘅制但係噉極都噉唔到,,,,,,,,1,1
isom2700 selling source,Have final and all quizzes,Have source,Pm,2,24,,,,,
Math1003 幾時派,我都想知🥲,無講,,,,1,16,,,
[有圖][號外] 科大想人幫手作校歌！,科大功夫醒~~~(好好嘢)科大功夫勁~~~(係好勁)我係鐵頭功~~~(無敵鐵頭功)你係摩打手~~~,朋友是一个坚韧不拔的纪录片，在香港这座城市的设置。主演：钱德勒索罗斯傅博斯一瑞秋莫妮卡和一些其他他妈的演员。,天上太阳红呀红彤彤哎心中的太阳是毛泽东哎他领导我们得解放哎人民翻身当家做主人咿呀咿吱呦喂呀尔呀吱呦啊人民翻身当家做主人咿呀咿吱呦喂呀尔呀吱呦啊人民翻身当家做主人天上太阳红呀红彤彤哎心中的太阳是毛泽东哎他领导我们得解放哎人民翻身当家做主人咿呀咿吱呦喂呀尔呀吱呦啊人民翻身当家做主人咿呀咿吱呦喂呀尔呀吱呦啊人民翻身当家做主人咿呀咿吱呦喂 呀尔呀吱呦啊人民翻身当家做主人咿呀咿吱呦喂呀尔呀吱呦啊人民翻身当家做主人,2,9,,,,,
收huma1000B sources,pm,Pm,Pm,1,9,,,,,
收 COMP3021 pa2,Pm,$50起拍每口價50,Pm,1,6,,,,,
comp3021,求救+1 難撚到,你開未有,有冇wtsgp,2,8,,,,,
收acct 3610 source,have last sem A+,收hadley vs baxendale plaintiff 🙏,Push,2,21,,,,,
今日晏晝碌咗落樓梯嗰個女仔,彩色,睇吓我認唔認得,咩色底褲,1,5,,,,,
__,Pm,Pm,pm,1,7,,,放SOSC1980 Test 1 & 2 Yik,,
LIFS4150 mid term,我below mean 14 分😎 有我頂住,C+,F,1,8,,,,,
丹麥student permit究竟點整,係咪真係全部嘢都係去到先整 但睇新聞好似話下年頭就冇90日免visa,ys😮‍💨,Ching exchange demark ?,2,4,,,,,
Deloitte winter intern written,做完video in未有消息,"報咩post, 有消息未",,,,2,5,,,
__,Thanks!!,可以😂,你介唔介意我pm問你少少有關ggt嘅嘢？😂🙈,6,72,,,MPhil/ PhD識人交流區,,
LIFS4200 midterm2,lm,Lm,Push push want to ask too,2,4,,,,,
ISOM 3260好撚大workload,can pm ?,ching介唔介意pm🙏,我地以前個組都唔錯 所有basic function 都輕鬆整到 但係一link過去advanced 個到就亂Q哂🤷🏻‍♂️,2,16,,,,,
收sust1000 quiz source,"have all shi xiao ming, lau shui ping quizzes","Have sust1000 pp and A+ project with proof, pm if need",,,,1,6,,,
收Acct 3610 final report,pm,pm,Pm,2,9,,,,,
core1905B影嗰張相,要同一個tutorial,想問係唔係一定要同同一班嘅同學影，其他學生唔得？,,,,2,2,,,
想問北角shuttle係邊個位,係戲院對面定戲院果邊嫁？🙏🏻🙏🏻🙏🏻,新光戲院？,戲院個頭,1,4,,,,,
周梓樂過世三週年 su無反應?,Cga0.6 or below 先有能力睇到,Story嗰鍵戰,國王的新po,5,24,,,,,
Econ 2113出分,唔知,我,Mean? Sd?,1,8,,,,,
覺唔覺得讀書中等加屋企窮先係最慘,🥺,Ys sls,Ddp t&m,14,47,,,,,
Shuttle 一問,朝早嗰啲係,Shuttle喺main building個邊停完之後 係咪會兜埋去LSK比人落,,,,1,2,,,
☺️,Pm,Pm,pm,1,11,,,Y2 SBM 摺liba 🙌,,
仲有冇女hall賣🙏🙏,如題 除左hall5🥹,,,,,,,,1,1
Lang 1117C Miss yu,Pm,lang1117c A+ 有全proof 有需要pm代寫,上個sem all一般有b range,1,10,,,,,
對Elec2400 HW ANS,意留個TG,,,,,,,,1,1
急收 math 4432 source,If u have source can pm Tg @lovedog0101,Th,有意 pm @lovedog0101,1,4,,,,,
收Huma1000A final quiz source,Pm,有source,Pm,1,5,,,,,
civl3310mean50.2 min3max97,關咩事,真係多lun謝97分果條友,,,,1,3,,,
Econ 2123 source 平放,"Have 2012-2020 quiz mt final pp with solutions, pm if need",Can tg me for econ 2123 source Tg: kkkk830,,,,1,2,,,
__,Mean 有60 叫唔叫高？,如題答案、對卷安排將另作公布。報告完畢。,,,,1,2,COMP 2012 midterm已出分,,
CSBA-Wisers Analytics比賽招人,Pm,Sorry we are full,I got stat data visualization exp,3,21,,,,,
想搵導師教小學興趣班,Hello 你好！有興趣做導師，可以WhatsApp 55166291 傾我地係 idea maker hkwww.ideamakerhk.com,,,,,,,,1,1
高價收sosc1990 peer review,Pm,pm,Pm if hv plz🙏🏼🙏🏼,1,3,,,,,
CIVL 1150 Project 1,不如開個telegram group 傾？,Pm,,,,1,17,,,
求Isom3400 James source,pm,Okk,Pm,1,3,,,,,
仲未交學費會點？,一日fps 1蚊,都唔駛逼你交,最尾咪唔出畢業證書,2,12,,,,,
isom2600 lab1 一問,想知邊度可以睇返個grp list,Same,要做d咩？無去到lab,1,3,,,,,
求 Elec 2350 study partner,pm,Pm,Pm,1,23,,,,,
收Math2411 Hu Yu source,hv,pm,收source 要pp同hw with solution,1,3,,,,,
收isom3400 Jiajia final exam,我有,pm 我有,,,,1,4,,,
ISOM 2700 Ronald Final,"Have final paper, pm if need",求final paper,essay,2,26,,,,,
收math3423source！！,有,pm,想要lecture notes，pp😀,1,3,,,,,
收 isom 2700 source,最好係prof. Lijian Lu嘅 sources,,,,,,,,1,1
有冇人上年fall讀math2511? 求source🥺,Pm,Pmed u,Pm plz,1,10,,,,,
Comp4471 midterm cls？,唔使咁擔心啦,正常嘅 你唔夠其實大機會人地都唔夠,但係時間唔太夠,1,11,,,,,
RSM intern,上年好似問過animal rights之類嘅嘢 唔太記得原題目，但好似關於應唔應該用動物去做實驗之類,What is rsm,想知group discussion 要discuss d 咩🙏🏻,2,49,,,,,
[緊急！]星期五漏咗隻手指喺Barn B,揾到啦多謝曬你呀,其他人歡迎繼續留言,好多謝你先,1,5,,,,,
收fina3103 mukherjee final,pm,pm,pm,2,13,,,,,
Science School 揀major小疑問,係 基本上first choice就入得,感謝🙏🏻,定都係要睇GPA分？ 通常要幾多？ 因為SSCI冇畀入biot gpa 個mean係幾多,3,13,,,,,
收sosc1780 source,Pm,今堂有啊！,"hv quizzes with ans, asm with ans, exam with ans",1,7,,,,,
收FINA 3103 final,pm,pm,if hv pm me,1,3,,,,,
有冇女仔住hall想一齊出嚟玩／摺liba？,Hii,Pm laa🤣,Pm,1,21,,,,,
Lang/ Huma代作文,以上各位都係垃圾 歡迎pm我,?,包A range,1,17,,,,,
有冇人記得 MATH1012 啲題目,可以！！pm +tg,Yes!,一齊溫math?,1,12,,,,,
[號外] 科大重開校園畀公眾人士！(冇打針者除外),應該係唔想返大陸動態清零,Should not stay on campus overnight,Info day 梗係多人,3,13,,,,,
收Civl 4700 source,pm,Pm,Pm,2,22,,,,,
Comp4021招隊友,仲有冇人搵緊隊友? pm me plz,Form左group 再傾？,,,,1,8,,,
hsbc case comp招人,Pm,pmpm!!,Please dm :),1,5,,,,,
Civl 2160 midterm 難唔難,開心，又有人炒撚咗粉,Last 個題predicted ratio is 1?,唔難,1,3,,,,,
1014早走嗰兩個柒頭入一入嚟￼￼,笑話,唔同同你呢件垃圾一齊上堂,咁柒簡單我梗係早走,1,9,,,,,
ISOM2500 la1,ISOM 2500 有 lab 嘅咩？,Anyone form group tgt?,,,,1,2,,,
EY written test+group in啲咩？,今年呀 9月尾in,咁奇？我都係喎，你今年in定之前？,可能唔同department🤔我in assurance,2,8,,,,,
放LIFS2070 上年fall source￼,Pm have Hirino pp,Pm pls,"有 上年fall sem Karl,Joseph,Hirino Pastpaper 可pm我",1,4,,,,,
收comp3021 lab10,收,,,,,,,,1,1
一人一個Engine ￼major￼嘅￼原因￼同分數￼,Hku engine的確喺香港搵工好過ust engine,友校Hku 嘅同學你好👋,以為自己係career experts 嘅傻仔,4,32,,,,,
收acct4010 source,"收4010 final, pm pls🥹🙏🏻",,,,,,,,1,1
Dllm Hujishan,SD 24,math1012?😂😂😂,攞mean分grading幾多到,3,7,,,,,
想搵HUMA1000B拎A/A+嘅人寫Final Essay,Pm,pm,Pm,1,20,,,,,
Isom4750 group project,收project source,Push,Push,4,,,,,,
Hilary again,Push Fatass,Push Fatass,Push,20,130,,,,,
Chan To Yik 近況,BTW hi 小文人,唔scan咪唔scan利申 冇scan過,?????,2,17,,,,,
在八號風的這一秒,可以,有冇人想去蘑菇感受下七樓嘅重力加速度。,冇,1,4,,,,,
Isom3180 總分94%係咪已經B-？,會，你final會炒,,,,,,,,1,1
買civl 4700 source,Pm,,,,,,,,1,1
ISOM2600 LA2,Pm,Pm,Pm,1,8,,,,,
列出今日仲要返科大f2f上堂嘅course,你指尋日？,雖然已經返左,civl2180 lab,1,10,,,,,
認真問，聽朝仲會唔會8號風球？,It’s just a typhoon,起身返學啦,大交合🤡🤡🤡,2,28,,,,,
Year1想問下lc同lg啲房book完係咪夠鐘直接就可以入,會唔會咁樣比system block?,寫左幾次book完又取消返轉第二個時間,有去用呀,1,20,,,,,
下晝8號波仲洗唔洗上朝早堂,我覺得係抽水啫,FF認證可能係真？,📷,4,89,,,,,
Case comp 招人,Pm,Pm,pm,1,21,,,,,
Math2111 midterm出咗未,假膠,L2,L4,3,14,,,,,
求elec2100 final pp,Pm,Pm,有 pm,1,29,,,,,
Isom 3400 James同Jiajia邊個伏啲,比jiajia教過 覺得佢幾好 教書幾認真 雖然accent有少少難頂,Pm,Hv jiajia source pm me,2,15,,,,,
你對SSCI 嘅印象/感想,伏,That what I want to say science雖然workload細，但會讀得好深入好難明。 engine啲野相比起science簡單好多，但死chur爛chur。好多pa，lab。,"sci A同seng兩邊都有take, sci喺要自己狂溫書都會炒嘅chur，seng喺多assignment pj嘅chur但有溫書考試一定識做",2,14,,,,,
Mark3620 assignment 2 question,想問下problem 2 q3 個profit 點計法？,,,,,,,,1,1
打風UST有咩車出坑口？,啱啱先搭完,小巴,,,,1,15,,,
收civl2160 source,pm,have pm,Pm,1,8,,,,,
未掛8號咁9點堂洗唔洗上,而家預測係下晝2點起烈風https://www.hko.gov.hk/tc/aviat/taf_decode.htm(1海里/小時=1.852公里/小時),有啲改zoom,問TA 佢答唔知 on99,1,41,,,,,
其實嚟香港exchange都幾抵,夏天熱到撲街,可以感受晒夏秋冬,,,,1,2,,,
求COMP4462 source,pm,"Have COMP4462 group project, labs, final exam, pm if need",any have source?,1,16,,,,,
ISOM 2600 LA1 group mates,hello,"Need one more member, pls pm",,,,1,2,,,
尋chem大佬,chem1020 A-1030 A-pm,,,,,,,,1,1
收civl2160 source,Pm,Pm,Pm,1,6,,,,,
求comp4462 source,有冇人有 有嘅pm我thx🙏🏻,,,,,,,,1,1
