参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
中菜廳￼晏晝飲菜可以飲到幾點？,暫時有三個人去,本身呢個group約飲茶 下星期三,https://t.me/cityurice,2,15,,,,,
22c 招人一齊搵書,20baaaa,pm 22b,pm,1,10,,,,,
ge2343招gm🙋🏻‍♀️,Hi?,,,,,,,,1,1
有無美國exchange？,推,Cb briefing,I received both cb and I level offer,1,34,,,,,
EF3333招人對asm,pm,pm,hi,2,23,,,,,
Exchange 仲係pending 係咪冇機會？,Non CB still pending,有冇人唔係CB 但係收到offer?…..,有offer都係pending,1,5,,,,,
Any exchange Australia?🙏🏽,Pm,如果唔係去top u 嘅話都唔係好高姐,Pm,4,18,,,,,
有無人知今年ac3202 A- cutoff幾多？,A-Midterm 76唔知final project,Yes,Midterm 79project 80final 96A,2,9,,,,,
Trans科,跟住cfft 個pathway reg,有機，前提係你有讀過數course 例如1200 1201,Year 1 major AC 爆4 trans cfft 有冇機,1,7,,,,,
CB exchange 去日本,Ok thanks 🙏,Keio同waseda都係日本私立大學最top嗰兩間 算係齊名,想問keio同waseda邊間好d?,2,10,,,,,
Any exchange Uni of Aberdeen,University of Aberdeen,,,,,,,,1,1
有冇人想一齊玩AIESEC global volunteer,有冇人有興趣玩aquatica或rooted依啲fields~,,,,,,,,1,1
EF3442 homework2,pm,pm,第一題（4）你哋計到q係幾多,1,10,,,,,
收CB2240 pythons source,Pm,Pmed,,,,1,6,,,
想起品香😋😋,有興pm!,,,,,,,,1,1
澳洲excy,"緊係好啦,加個tg/交換電話🙋🏻‍♀️",雖然都唔係好近，但係都叫做係喺悉尼😅,"我uts sem A, 會唔會有興趣一齊?😂",1,4,,,,,
有冇人sem B Netherlands?,Ofc,me leiden can meet tgt,Me VU university Amsterdamn,1,3,,,,,
2023_Sem B_加拿大,2023_Sem B_加拿大2023年Sem B會去加拿大嘅入呢一個Whatsapp Grouphttps://chat.whatsapp.com/CEXbsH0Ghhp3fAK9jSxwv4,,,,,,,,1,1
Any sem A Bocconi uni,Dmdmdm,,,,,,,,1,1
有冇人讀過或者讀緊LT1101,can!!,Can I talk to u?,Halo,2,5,,,,,
AC4342 quiz 範圍,"Lecture 1, only Goodwill calculations",因為上星期sick leave左，先知聽日要quiz，佢個 schedule 同教範圍又唔係好同，想知佢上堂quiz到邊🙏🏻,,,,1,2,,,
EF4312係講乜,+1 今日堂 mid term都好迷,🫠🫠其實有無人係明？,唔知學緊啲咩🥲,3,6,,,,,
Exchange I level 係咪一定今日放？,Florida!,which u？,US here!!,6,101,,,,,
有冇人去CB summer exchange Canada,Can pm？,上年去咗加拿大，不過可以分享下 如果想去,Pm,1,4,,,,,
Exchange一問,想問如果Application unsuccessful嘅話會唔會收到email or aims直接轉status？,,,,,,,,2,1
有冇人報左big4 summer intern🙋‍♀️,Big4 幾時截止報名啊？,唔清楚 我淨係報左pwc,而家好似得pwc 開始？,1,10,,,,,
__代寫Essay/￼Writing￼👍,✨作文/Essay/答問題都可以,《新張優惠》每500字$300HKD有咩問題都可以問,,,,1,2,,,
放CB 2100 2223semA quiz 1 ans,pm,有需要請pm,,,,2,2,,,
UBC summer program 2023,你gpa幾多,gpa要幾多,想去!!!但未必入到🥲,1,4,,,,,
請問點樣book洗牙?,好，唔該哂,如果嚴重佢哋會唔幫你洗,有生會點?,1,9,,,,,
收Cb2011 home assignment,Pm,Pm,,,,2,2,,,
放ms3252 asm2 ans and code $20,Pm me,,,,,,,,1,1
有冇SDSC2004 想form group?,pls pm,,,,,,,,1,1
SL summer exchange,Pm,有冇報咗 CB Canada exchange ?,可以！(我都報左🙆🏻‍♀️),1,13,,,,,
如果有嘢想搵大學社工傾,Grant loan,當然中學我見過有啲真係走去同埋另外一間中學( 轉左嘅新校)嘅人講,正常呢個應該係社工守則,11,,,,,,
__,Pm,有冇人可以傾吓點做in class assignment,,,,1,2,Ge 2318,,
cb3410 有冇人有source 🙏🏻,Pm if need,Have last sem A range source have proof Exam + Mock examMidtermPractice Q (Question bank)Assignment NotesFormula sheet,Have,1,7,,,,,
今年有咩Ac Soc下莊係好睇正常的,都唔明乜嘢世界嗰啲都話靚仔,嗰啲根本就係mk仔,旅soc有靚仔😳,1,12,,,,,
☠,跳进去,你跟门口阿姨说啊,點樣先可以入返去佢拎？,1,3,,,留咗學生證喺liba書包入面,,
對GE2318 Assignment,pm,Pm,Pm,1,5,,,,,
放4303 a range source,pm,Pm,Pm have,1,59,,,,,
CB summer program,依家都未deadline，你可以報,啱啱加入goop，而家先睇到呢個post，damn可惜太少人報😓😭😭，想去😭😭,CALIS 係咪報咗之後就有得去summer exchange定係 都係有selection？,1,3,,,,,
有關喺City俾人截停訪問你part time,唔排除佢哋係啲詐騙集團,因為你而家唔報 下1秒害到可能係你或者你朋友屋企人,見疑即報啱吖,14,,,,,,
收cs4286 source,21/22 Sem b A~,推,"包括assignment answer, past paper以及past paper answer等等",2,3,,,,,
收GE2402 A range source,Have last sem A range source Can proof,有冇係conny教嘅🥺🙏🏻,,,,1,2,,,
收ge1216 source,收GE1216 source!!!,,,,,,,,1,1
Exchange 韓國易唔易去,你揀左？,"Not difficult, 過3.1 then ok",Yes,1,7,,,,,
CB3410,Pm if need,Have last sem Cheong Ans,Anyone CB3410 FM C04一齊對吓problem set ans,1,3,,,,,
有冇人知EE1002 gpa個cutoff係點,有冇話邊度可以揾到個cutoff,,,,,,,,1,1
收is2023 source,要咩source,係唔係有source,IS2023 PALSIWed 10-12/12-2有意可 PM https://t.me/arashi18,1,5,,,,,
City mgt有無靚仔靚女,講左咁多年其實係咩事,政政 卡文湖 圖書館扑野霸氣女皇,on9 又係度撚鳩人,1,4,,,,,
City 靚仔靚女ig,卡文湖,,,,,,,,1,1
收sdsc2004 test exam 可議,pm,pm,pm,1,11,,,,,
EE 仔有咩出路,做金融,"冇, 直接去外國算",其實想知下收入穩唔穩定，同埋有啲擔心有冇人請,1,6,,,,,
讀能源環境點自救,tranee,樓主點解唔行考牌條路？,sorry😞 🫢,4,33,,,,,
ma1503  有冇人G 講乜？,Ask bear king,輕度？,,,,3,3,,,
今年insoc班人咁撚柒嘅 又話收靚仔靚女？,+1想知,唔錯呀~ 反而好奇點解佢哋今年仲有得做🤔,Ig search insoc,1,7,,,,,
Exchange exam fail,pm,Thanks,只會冇咗剩低嘅funding,1,5,,,,,
"CB2240, IS2023 PALSI",有意可 PM https://t.me/arashi18,,,,,,,,1,1
CAH1603,誠收source,,,,,,,,1,2
city grad完再去外國讀多次大學係咪真係好傻？求意見,唔會好傻 香港讀文科點同外國讀文科,22,幾多歲,1,17,,,,,
__,幾時嘅事,收到email,,,,1,9,有冇人23/24 semB芬蘭exchange,,
Ge2128搵study partner,The same,Hi,pm,1,6,,,,,
收ge2138 source,收 source,,,,,,,,1,1
Double major,Math,Bear course is better,"會，im, ac",1,6,,,,,
有冇人報過pwma,pm?,pm,Thanks for sharing!! 好擔心冇interview,1,10,,,,,
放cb3410 fm cal機,有意放 pm,想收+1,想收cal 機,1,11,,,,,
CB3043 搵人夾Su Lei case,Pm,Pm,有齊Su Lei all case 平放,1,4,,,,,
☠,琴日一坐低上面部冷氣滴緊水🫠🫠,冷氣系統？,好似同之前無分別？！？？,1,3,,,AC1 裝修咗啲乜？,,
LW2903 Bus Law 平放textbook教科書,push,有意tg我https://t.me/miku1010,,,,1,2,,,
收 LW 3902 source,Pm,,,,,,,,1,1
放BME4101 A range sources,Hi有意,有今年同上年嘅source,攞A,1,5,,,,,
收GE1106 Chi Art Apprecition,Pm,Pm,Pm,1,9,,,,,
跪求GE1106 A range source,Push,收GE1106 近1-2年的A range source,,,,1,2,,,
MKT Aragorn Chang 要求全民檢測￼,佢咩tiger呀😡佢係big pussy,有佢全名嘅話可以知道佢係唔係tiger,😭咁低嘅 佢上次分group話自己4.18我先同佢一組,25,532,,,,,
grant loan,嗰時我打上去佢先話佢寄左信問嘢但無收到,打上去好d,未,1,13,,,,,
CB2402,5 take,因為我知Peter不嬲都唔take attendance,,,,4,,,,
__,pm,pm know PyTorch,It is better if you know about AI.,3,21,,,有冇人想join大灣區STEM卓越獎2023個比賽?,,
AC3 bistro 四眼收銀阿嬸,Yea,ac1 有老鼠食,焗豬唔錯,3,22,,,,,
想問下唔見嘢有無失物部,保安🌝,Thx,失物部如果有嘅，喺邊度,1,2,,,,,
招人VCOC investment challenge,Push,樓主year 1 bba,今日deadline,1,3,,,,,
收SS1012 source,Push,推,,,,1,2,,,
放GE2402 A  range Sources,Pm,放GE2402 A  range Sources齊Assignments 有ProofPm if needed,,,,1,2,,,
有冇女仔想hall2轉hall6,樓主here pm me plz,,,,,,,,1,1
可唔可以帶人入campus,Julac card if 佢仲係大學生,Ask bear king for help,唔好做犯法事,2,8,,,,,
AC4301 S01/SA1 招groupmate,有意pm/求組,,,,,,,,1,2
Ac4303仲有冇grp收人🙇🏻🙇🏻,U need bear king,are you bear?,唔freeride,1,3,,,,,
ms4252 招grpmate,Yea bear!,Bear is the best,,,,1,7,,,
Cityu 有冇gay,pure都相認🙌🏻 sls,Hall 10,,,,83,,,,
0 credit 要唔要交學費,要除非你手動㩒reduce study load / gap year,,,,,,,,1,1
Cb3043 有冇source,Tailor brands那一個,,,,,,,,1,1
今日朝早有冇人在ac1 拾到黑色銀包？,問保安同city info,一日揾唔到係咪冇救？,,,,3,7,,,
__,Pm,Pm🙆‍♂️,測驗 ＆ 論文,1,5,,,想收22/23 SEM A CCIV Sources！,,
放3043 case,Bear case,平放Su Lei cases有意pm,,,,1,2,,,
收cb2300書,pm,Pm,有實體書,1,5,,,,,
ESG case comp招隊友！今日deadline,year 4 BBA pm,https://www.cb.cityu.edu.hk/careerdevelopment/news/events/eventDetails/?id=27690,Pm,1,7,,,,,
收GE2318 notes,pm,pm,pm,1,13,,,,,
收ef3331 source,This is fake,呃錢的,,,,1,10,,,
GE2343 招 groupmates,🙋,有意pm/tg,,,,2,,,,
酒友？,Pm,,,,,,,,1,1
ms4226 求組,Bear king,,,,,,,,1,1
收IS2021 A/A+ Group project,pm,有兩個sem A+ source,pm,1,3,,,,,
ac1 開返未？,我想食屎,6-Feb,未,1,4,,,,,
IS4636 招groupmate,Pm,,,,,,,,1,1
CB2300 S02 招group mates,有意pm🙇‍♂️,,,,,,,,1,1
［放汁］PIA 2012 Final Test,Pm,［放汁］PIA 2012 Final Test1-5 題 Pm,,,,1,3,,,
招青衣友每日7點海旁跑步,我長丁,pm,我大波,1,5,,,,,
屎 我係一督屎,好哲學嘅結論,關我撚事？,U nd bear king,1,3,,,,,
今日先發現cityu個cyep執咗🥲,Any reason,,,,,,,,1,1
Ge2333好吾好讀？,收ge2333 🙋🏻‍♀️,靚grade,Okay啊,3,4,,,,,
MS4226 Find groupmate,Pm,Here,Find bear king,1,3,,,,,
1月19 有野玩,平機會表示有經濟誘因我地唔受理😂,同你講香港你就話外國同你講平等你就同我講elasticity 🤡🤡,又係淫亂party,1,7,,,,,
收GE1216 A range source,收+1 唔一定要semA,Push,Push,1,4,,,,,
收ef3442 source,有嘅pm傾,,,,,,,,1,1
收CS4386 source,有意pm,,,,,,,,1,1
放CB Source,Fake sources,Btw have prove,Is2022 伏source,1,5,,,,,
放GE1202 source,Fake,有 A range source,有 A range source,1,18,,,,,
Loreal,Bear brand,,,,,,,,1,1
EF3331 搵groupmate,差一個 有意pm,,,,,,,,1,1
FYP Survey 城大美女求幫手🙏🏻,Ms. hui and his groupmates 黃先生及其同學 ????,愛你地啾咪🫰🏻,https://docs.google.com/forms/d/e/1FAIpQLSdM3oTLQBY6Ah9HxRicynuw8vwUSJsQqAcEuSuRovSY_tnRhg/viewform?usp=sf_link,1,4,,,,,
招CB2601 C03 groupmate,"仲差1位groupmate, no free-rider! Aim A-range! 有興趣請pm,thanks🙏🏻",,,,,,,,1,1
CS4296招groupmate,Bearmate here,招aim A range / 勤力唔free ride嘅groupmate,,,,1,2,,,
CB4303 本ebook要點買？,So buy bear book,我都覺,Bear book is better,1,7,,,,,
CityHack23 組隊,Pm,pm 利申冇料,,,,1,10,,,
Management有咩靚女,U nd bear king,柒都冇問題,有閪就屌,1,13,,,,,
MS4252搵A range grpmate,Bear,Nice,Find bear king,1,6,,,,,
Exchange credit transfer,通常tran唔tran到,有冇人係1月trans credit？有結果未？,,,,2,2,,,
收pythons e-book,city online library 有free,Pm,Bear book,2,15,,,,,
有冇人一齊玩Hackathon？🥵,Pmpm,有興join 未挽過 pmpm,一齊玩？,1,8,,,,,
Exchange gpa,Yes好strict 的,係咪無得去🥲,差小小先meet到min requirement,1,3,,,,,
city好難識gay,Not good looking only look for frds who can really be talked to,🤣🤣🤣,,,,5,52,,,
有冇試過淨係靠UE報exchange係收左,要冷門仲要係第二輪人哋唔要先有offer,3.2,你依家知唔知？,5,69,,,,,
city社科有咩靚仔,Ken,你,,,,2,2,,,
UK exchange,同問+1,同問,如果係ilevel呢,1,6,,,,,
想搵返個舊朋友,其實個post 我係問大家邊個方法好，冇話搵定唔搵,To be honest 其實你心入面已經有答案你只係希望其他人都支持你 所以唔講咩lu去啦你,當年唔識處理😢,2,13,,,,,
有冇人想一齊夾下band,我係vocal 前幾年有出去busking依家想pick up返  想搵吉他/琴手一齊夾下/出下busking可以pm send錄音 睇下大家曲風夾唔夾～,我係vocal 前幾年有出去busking依家想pick up返  想搵吉他/琴手一齊夾下huo z出下busking可以pm send錄音 睇下大家曲風夾唔夾～,,,,1,2,,,
有冇人都有gbsm/double major問題？,應該唔駛,就係唔想minor,佢有去兩個exchange 同冇defer??,1,12,,,,,
[Exchange] USA 有冇大學推薦？,wasington,Boston,係咁嘅，小妹想搵一間係冇乜種族歧視地區既uni🥺pls help 🫶🏻,3,,,,,,
Exchange 一問,返到來要追返study plan,見過有人去Exchange Tran 得6 credit 仲要free elective,唔係唔係可以,3,4,,,,,
Final year 想apply 下年exchange,邊個dept？之前問過Angie話可以Year 5 Sem A去🤔,咪係，直接唔apply grad 之後下個sem交學費就會defer到㗎啦😂😂😂,但defer要apply架咩🤡,3,6,,,,,
GPA 3.4 Summer school,唔係睇學校名嘅咩？,IELTS 幾多？,,,,1,10,,,
⛄️,3.1,Asia no need too high,3 lo,1,8,,,semB 日本exchange,,
Gbsm出路🤔,Year 1?,,,,,,,,1,1
GPA3.2 exchange,can go,Can go,想問GPA得3.2會唔會難去exchange頭兩個填咗university of Bergen 同 Uppsala universitet,1,3,,,,,
MS3111 招人,Bear 🐻🐻,bear 🐻,,,,1,11,,,
bba gpa唔過3點樣搵intern,Ching 有料 same yr3 ac 想識下,冇 can pm?,,,,5,33,,,
CB2240 QUIZ 2 問咩？,Pm $20,Pm,Pm,3,16,,,,,
CB3043 s10 求組,ching有tg？,Pm,有意pm🙏🏻🙏🏻,1,3,,,,,
IS2502 Social Media Lecture,要咩？,要,IS2502 Social Media Lecture 駛唔駛take attendance?,1,3,,,,,
搵ef4314 aim A range groupmate,Pm,Pm,有意pm,1,3,,,,,
有冇EF4314 S01 人招groupmate,推一推😢,小弟今個sem double major 識唔到finance人，有冇人收留小弟,,,,1,2,,,
平放GE2129 young psy sources,Push,pm,Pm me,1,11,,,,,
GE2211搵GP MATES,okok,唔記得左del post 真心sor,Sorry ar 我入左組啦🙇🏻‍♀️🙇🏻‍♀️🙇🏻‍♀️,1,6,,,,,
收 EF3331 source,皮,收,皮,1,5,,,,,
Gym,要登記（上左course or有康文署gym證） 再比$3/hr,Of course not la😂,AC1 個gym room 係咪掃安心就入得用得,3,,,,,,
__,我第5都未出聲,覺得自己巧叻叻☺️,,,,2,2,CB2240 Kahoot 頭50名,,
讀nuclear engineering 點自救,聽講政府打算係將軍澳引入大陸核電 核工撚係咪有機會,去伊朗整核彈,向能源說不,1,10,,,,,
放MS3322、MS3253source,Fake,"MS3322 有兩個semester in-class exercise, projectMS3253 有pass paper, tutorial answer, project",,,,1,2,,,
點解CB 2240咁撚多人？,😂😂😂😂😂😂😂,減肥啦 死肥仔,戇撚鳩,1,4,,,,,
MGT4305 S01招負責任grpmates!,Pm,Pm,No freeriders~,1,3,,,,,
EN2801想搵gpmate🥹,唔記得咗幾多個人一組,一齊入一個空gp?,Same 一個人,2,5,,,,,
mgt 4308 staffing求組🙏,push,"負責任唔free ride,求組🙏",,,,1,2,,,
CCIV in-class quiz 一問,omfg...thx ching!,我諗份quiz同唔同係睇你跟邊個,組組都唔一樣，有啲份quiz易既會拉curve減分，難既會加分,1,9,,,,,
IS 打電話要求同老師zoom meeting，一般什麼事,出貓就唔會，要捉一定派grade前做,你所指既過mean係岩岩好過2? 如果係既話搵你傾都唔奇,,,,2,23,,,
放GE2402 A range source,Pm,收ef3331 sources,Pm,1,13,,,,,
有冇人有Python s02個access code,,,,,,,,,,
__,Is2023,ee5415？,有冇人可以收留兩個人？,1,5,,,招mobile application s01 組員,,
夾CB3043 S11 case,Pm,有意！,,,,1,2,,,
"PIA4912 , PIA 4912, AIS4912",揾groupmate,,,,,,,,1,1
GE1125 招group mates,"groupmates no need to find, find ppl nearby is ok. ps. presentation very high mark","me sem A , with a range report",pm,1,5,,,,,
IS3100 s02招groupmates,Push,Bear data,Hard work No freerider,1,3,,,,,
IS3101 招LOCAL groupmates,正正常常會做嘢就得,IS3101 blockchain招 local groupmates PM https://t.me/arashi18,,,,1,2,,,
Miss左add drop period,未必的因為study plan 同實際情況未必一樣例如去左exchange 亂左就唔會pre reg 返俾你,你話你入咗青山仲可信,歷時十幾日嘅技術問題都畀你up得出👍🏻👍🏻,3,24,,,,,
hall7 女 想調hall1🙏🏻🙏🏻,有意pm🥹 https://t.me/someone_likeu,,,,,,,,1,1
有讀GE1216同GE2109入,唔難 workload又細,會 上年上堂 d attendance逐個逐個tick,同埋我miss咗頭個1堂會否影響class participation 分?,1,10,,,,,
__,可以呀你逢星期幾去？,邊度有扮喎🥺,收爹啦又扮gay,2,8,,,只限女仔：有冇絲想一齊喺圖書館溫書？,,
Cb3410 c01招隊友 唔freeride,5-6人,想問吓幾多個人一組？,Pushh,3,,,,,,
收MA1006,Same,利申A+ 😂,pm,1,8,,,,,
MGT4305 S02 Find groupmate!!!,Find 3 groupmates!!!! Pm for contact detail and join the grp!,,,,,,,,1,1
MS4226 group project,Write a risk management report for bear king,想問分咗組未? 要幾多人一組？,,,,1,2,,,
收ge1226 2138 source,Pm,,,,,,,,1,1
收SDSC4107source,有意PM,,,,,,,,1,
放cb2402 2240 A sources,Pm,Pm,Pm $40 include 2402 and 2240,2,17,,,,,
CcivC09 搵上堂嘅frd😭,hi,係咪lam hok chung？,Bear sources here,1,5,,,,,
收CB2240 2203 2201 source,Pm,Fake source,齊3科平放,1,19,,,,,
Cb 2300 s04 搵gpmate,非free rider,,,,,,,,1,1
有無人讀過GE3208？,🙏🏻 thanks,,,,,,,,2,7
出EE2005書,$2005，ok?,,,,,,,,1,1
想問學生八達通續期係邊到cup印？,直接download八達通嘅apps,保安室 你大嗌我要印仔就可以 佢地會明,https://studenteapplication.mtr.com.hk/ch/form,2,7,,,,,
想搵cb 2300 groupmate,Sameeee,S04,唔freeride🙏🏻,1,3,,,,,
放 IS2505,PM,Pm,放IS2505 CA 1 / LA1,1,3,,,,,
PIA3121 gp,我哋差一個,.,,,,8,,,,
IS3430 L05 招Groupmates,借po L02搵多個 有興趣pm me,Hi🥹,,,,1,2,,,
收GE1202 all source,push,Pm have all materials,如題,1,3,,,,,
Cb4303 t19 搵groupmates,"Looking for groupmates who aim at A range, no freeriders",,,,,,,,1,1
GE2343招groupmate!,Ok!,pm,,,,1,3,,,
CB2023 組員招募大行動😎,Pm唔到你 直接whatsapp我ok？,,,,,,,,5,
招GE2244 Grpmate 🙏🏻,呢邊有兩個人🙏🏻有意pm,,,,,,,,2,1
SS4305揾group mate,"依加有3個, pm",,,,,,,,1,1
放GE2260 sources,Ohhhhh😂😂 but here’s a great news that I have already sold to somebody I think my sources may also help them. Thanks for caring ❤️❤️,What will happened after changed the prof🥲,"so sad to tell u that this course changed prof in sem B, not Ho ho anymoreSo no need to sell sources😘",4,,,,,,
可唔可以揀10月grad,你一直唔申請畢業，你咪一直可以讀， 直至個最長上課年數,Try defer maybe?,想final yr summer intern,1,3,,,,,
Cb 3043 S03 有冇可以一組,Pm,冇,,,,1,4,,,
放CB3041 Financial Statement An,Pm,Have several semesters pp with ans & GP,have several semester paper,1,5,,,,,
求Mkt4637 12543 你岀價,Waitlist 1,,,,,,,,1,1
ge2125,有冇人一齊上堂~,,,,,,,,1,1
收LW3902 Week 5 tutorial answer,push,Tutorial Questions for Week 5: Corporate Constitution,pm pls,1,3,,,,,
MS3253求组Group！,pm,,,,,,,,1,1
有冇人讀過GE2122 Cantonese,有冇人讀過GE2122 Cantonese想知present個啲係中文定英文,,,,,,,,1,1
"收CS4296, CS4386 source",有意pm,,,,,,,,1,1
MS3253求队友啊,C01求组队队友😊😊,,,,,,,,1,1
請問今個sem CB2200計唔計attent,Course outline,事關星期五cb2200 c03想自製dayoff 番工，唔知cb2200計唔計attendance🙏🏻,,,,1,2,,,
收EF3331 position,有無人放ef3331 有酬,There is a position for payment,Have anyone could dropped the ef3331?,1,3,,,,,
招python study partner,Pm,Pm,Pm,1,25,,,,,
ge1226 組隊,My GPA is 3.5aims A range work hard～no free rider～有意pm,,,,,,,,2,1
Year 1 bba 點刷cv,爆4？Not sure 😬,cfin得,fin trans gbus要幾高gpa?,3,53,,,,,
有冇CS人想defer 1年先做FYP🙈🙈🙈,ching咁chur,有諗過defer一年做fyp之後搵份ft,冇咁chur又去到exchange😛😛,2,3,,,,,
Mkt3603 招 a range grp mate,Ok,Pm,pm,1,4,,,,,
有冇人CB2101 C01想轉C02,乜唔係分曬組啦咩？,nono,CB2101 Operations Management 我C02想轉C01,1,3,,,,,
Mkt3603 s01 想揾teammate,Aim high 有意pm~,,,,,,,,1,3
求放SM2714 animation 求畢業￼,Push,Push,星期四嗰班啱啱見到叫咗個friend add,1,19,,,,,
GE2122 Cantonese有冇人讀過,Hi,想問下佢個present係用中文定英文🙏,,,,1,2,,,
IS2021 vs CB3041,雖然我最後A+ 但都覺得呢科唔抵讀,有都煩Assignment 個個sem 都有少少變變左就成條唔同寫法Quiz 就大同小異但都有差別,我就係上咗第一堂workload 太大drop左轉3041,1,6,,,,,
收PIA2200 GE1129 LT4226,已經reg到🙏🏼,Bear amount,2200諗住drop 你想幾錢收？,1,8,,,,,
22-23 Sem b 瑞典exchange入🇸🇪,係🤭🤭,想問下residence permit係咪要翻大陸先搞到？,有冇人去Gothenburg啊🥲交換個tg!,1,3,,,,,
MKT4634 Foundation of PR,想問下有冇人讀過呢科🤔 好唔好讀？,,,,,,,,1,1
收CB3043 Vincent case 1 -5,做project同individual,收CB3043 Business case analysis and communication case 1-5 (Vincent),Sor,1,6,,,,,
__,留名,Play boy,/The wisdom of Life,31,37,,,一人一本影響咗你人生既書,,
EF3331 難？,係,Exam 系咪考關於新聞既野？,基本上有上堂聽書就得 個人覺得幾有趣又學到唔少野 又唔使計數,2,5,,,,,
HKSGV 2023 Case Competition,垃圾比賽有咩用？,"Y3, 攞過champion & second runner up",,,,2,17,,,
GE1216 - Loving Work好讀？,再開😂🫡,Pm,招groupmate ~ aim A,3,17,,,,,
$9平放GE2402 Ebook PDF,$10 quick serve,Pm,Pm,2,64,,,,,
放GE2402 ebook,Pm,Pm,Pm,1,10,,,,,
GE2402 Evangeline Hung好唔好,Why,killer,,,,1,7,,,
招LW3902 study partner,Pm?,有冇人reg咗T03,,,,1,2,,,
求GE1220 A range source,有冇人讀過🙏好唔好讀,求GE1220 A range source,,,,1,2,,,
ss2701搵grp mate,岩岩先add到呢科 有無組仲要人？🥲,,,,,,,,1,3
alumni卡可唔可以入圖書館,聽人講唔得 求大神解答,,,,,,,,1,1
收sources,No quota,Pm,放GE2402 22/23 semA 齊source A range 有proofPm if needed,1,5,,,,,
__,pm pls,有意pm🥹免費贈送A range source: Ac4382/ Lw2903/ Ac4342/ EF4822 /EF3333/ Ge1501/ Ge1204,,,,3,,求AC4391 S02換S03,,
收CCIV 王景松,Pm expired,pm,放A range Essay + lesson materials,1,3,,,,,
__,Ielts得6有冇機？,1,打攪一下(;_;)想問下你地大概gpa 同ielts 幾多？I level 想報，但唔知有冇機,2,7,,,2022-23 sem b Sweden 入！,,
招GE2402-T10 gpmates,有意pm,,,,,,,,1,1
招IS4940 IS4650 groupmates,pm,Pm,Hi are u still looking for groupmates:),1,6,,,,,
收ge2248 a range source,有意pm,,,,,,,,1,1
__,You need bear king,Search qs and would ranking,排名好高，係指邊啲？,1,15,,,去荷蘭exchange要有幾多gpa?,,
放GE2402 E-book,Pm,Pm,pm,1,37,,,,,
Sem B 西班牙exchange,pm,Pm?,Pm,8,,,,,,
__,見ais 個啲po每個都好兩極想知今個sem egreteau 係咪killer同埋book review係咪真係要好深入咁寫🥲 好驚寫唔啱嘢對個course本身有興趣的，但真係唔想爛grade,,,,,,,GE3208 係咪伏黎,1,1
Ge2134 定 Ge2248 好？,Lm,2134 輕鬆A 可惜無A+,,,,1,2,,,
CB4303-T22 招 group mate,PM 交換 contact?,pm,Year 4 major ECON IS  CGPA 3.5x with proof  🙆🏼‍♀️🙆🏼‍♀️,1,4,,,,,
放Mkt3601 S02,pm,Pm,我有source,2,12,,,,,
$10 GE2402 ebook (pdf,Pm,Pm,Pm,1,46,,,,,
其實細英sem A係咪唔會比你pass,Bear king,B就難到pk la,佢可能講緊EAP1？,2,5,,,,,
⛑,"要hard work, 唔freeride (freeride即report), Aim A range!",,,,,,,GE1202 C01 招GP mate,1,1
GE2129 looking for aim A gp,U need bear king,As stated,,,,1,2,,,
EF4314 S01 搵groupmates,Pmpm,,,,,,,,1,1
想問日文law on pik 係咪killer？,冇學過日文唔知會唔會fail？,,,,,,,,1,
CB4303 T02 想轉T03,pm,,,,,,,,1,1
EF3320 有冇人組隊,推,,,,,,,,1,1
收 ge1106 A range source,收 ge1106 A range source,,,,,,,,1,1
收 GE1226位 $200,如題,,,,,,,,1,1
CB3044 定CB3041好,3041 for sure,Aim a range 邊科好讀啲,,,,1,2,,,
GE2134 C01 group project,C01 分組有興趣pm,,,,,,,,1,1
$50放CB2601 E-book,pm,Pm no quota,Pm,1,4,,,,,
"仆街, cciv reg左個普通話教嘅",真,"有冇搞錯, 咁q簡單",2-3份Quiz 唔同instructor唔同難度,1,23,,,,,
Cb3043 SU LEI,又比好grade,好索,韓妹先最好,1,4,,,,,
Exchange一問,我人院~,Ching 你咩major 呀,"oh really!我填study plan填到頭都大埋🤯, thanks!🙏🏻",1,8,,,,,
cb2011點樣？,pm,pm,pm,3,22,,,,,
放cb3044 source,Pm,pm,Pm,1,5,,,,,
IS4636-S01 招 group mate,Year 4 major MKT & IS ，CGPA 3.3X有意請DM，thanks🙇🏻‍♂️,,,,,,,,1,1
Ge2334 week 1洗唔洗上lab,plz accept~,Ps A-,Fun course 不過以前有exam,2,19,,,,,
cb3410 今個sem 有冇gp project,少嘢做但廢唔廢,Choi,韓仔係James定Choi嗰個,2,19,,,,,
Cb3043搵grpmate,cb3043 s11,宜家差4個 有意pm.,,,,1,2,,,
CB3410,james,自修都睇得明(??,但佢係3字頭,2,15,,,,,
cs4348 要人,組隊要人,pm,,,,1,2,,,
GE2122 Cantonese好伏,真.. 上年都late drop左 第一堂就易 之後都好難,,,,,,,,1,1
MS3322 groupmate,有冇人未有組？,,,,,,,,1,3
2101改分,都係canvas 冇同步？,Only 2201,有冇人收到email2101話改grade,1,3,,,,,
收IS4650 past paper,Plz pm,,,,,,,,1,1
