参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
22-23新加坡exchange,🐼,有！sem 1去,🍭,有冇人都係下年去新加坡exchange🥲好似唔多覺有咁,,,,,2,,,,
HEC montreal 係咪用法文上堂,😣,有法文 英文 同西班牙文,😛,有冇人知HEC montreal 係咪用法文上堂？,,,,,1,2,,,
Math1005 calculus past paper,🍺,有final paper,🤖,薄酬,🤖,有冇人有吖？,1,3,,,,,
⛄️,🍙,same same!!,🌹,挪威 University of Bergen,🌹,Yes!,1,4,,,22-23 Sem 1 Norway,,
Exchange 驚唔驚疫情歐遊唔到,👨,歐洲just a flu， 啲限制都解除得七七八八驚咩？,😻,遊唔到咪又遊唔到,,,,,1,2,,,
去澳洲exchange嘅GPA係幾多？,😙,3.49 Wollongong,👨,邊間？,🍍,3.7,1,5,,,,,
2022-2023 Sweden exchange,relax,入link,relax,入link,relax,入lijk,1,28,,,,,
AO interview,💣,你都要？,🍋,咁有機既,💣,7嘢 9答嘅結果,3,19,,,,,
有冇Animal 同plant phy past paper,🐢,有冇人有source and past paper,,,,,,,,,,1,1
Bu可以彩print嘅地方？,🐆,AAB Learn com 可以quota 呀,🐋,要用八達通機,🐋,隱約記得彩色影印冇得用quota,1,15,,,,,
Yang13有人中肺炎,😑,"全個BU都係同一幢, 唔同門口",🤕,Sls我,🙂,南北座係同一幢，唔同門口,4,36,,,,,
gtsc2007分組,🤓,PMed!,🤓,好呀好呀🙏🏻我都未有組！,🐬,請問你依加有冇組?我依加都係冇組😢介唔介意我地form個gp?,1,4,,,,,
英國exchange 入一入嚟！,😳,唔想打疫苗🥲但係想exchange,😏,其實以我所知香港個疫苗證明至少可以去到法國個啲 同埋香港個疫苗證明好多國家受理架啵利申：英國讀緊master,🐐,又或者有冇其他方法，感謝你！🥺,1,7,,,,,
Gcap3006 分組,😨,Pm ed,😨,好！,🐰,我都一個～一齊？,1,4,,,,,
Scholarship一問,😢,same here,👨,咁睇嚟…😭 thanks btw,🤓,*通,2,14,,,,,
Acct1006 asm 有冇人想一齊傾下點做？,🍇,都有*,🍇,都唔知會唔會伏 我都要問之前讀過既frd拎ans 但我覺得應該唔一樣,,,,,1,4,,,
今年冇暑sem?,😮,應該無 上年reg result都出埋,🐠,application and course list 撳都撳唔到入去睇🤔🤔,🍃,幾時有得報?,2,4,,,,,
有冇人smart d section1 未有gpmate:(,😒,pm www,😋,pm,😋,hello,7,,,,,,
Busi2027 招grpmate,🐩,Yes,alcoholfree,Section1 pm？,🐩,Pm,1,3,,,,,
ACCT1006 題目（堅料唔係￼薯條）,🐼,老友埋位🐝🐝🐝🐝🐝https://t.me/+DHEU0w-atQxiZTRl,,,,,,,,,,1,1
FINE2005 (6) 搵group,Jerry227,隻身一人搵group收留,,,,,,,,,,1,1
Acct 1006一問,🐒,eg我自己既話會係section 1/2 嗰個moodle搵到,🐒,會係你個lecture 咁多組一齊嗰個moodle裡面,😸,我都搵唔到 有冇人知,7,15,,,,,
Busi2045 section5 groupmates,🌜,揾齊啦~,🀄,Pm,,,,,1,7,,,
exchange scholarship,🐿,shit我都冇得in..,🍹,apply咗下年 dept有俾one-off scholar 我但exchange scholar 就無叫我去in 😔,,,,,2,5,,,
FINE2005 section 6求group mate,🙍,+1,Cube23,+1,🌝,有冇人可以收留我😭可以pm傾,1,3,,,,,
sem 2 onlineヾ(@^▽^@)ノ,🌴,交通費一個月500蚊真係冇講笑,😂,利申：屯門,😂,real,2,26,,,,,
GTSU2046 求Groupmate🥲,ghjk6859,PM,Jackyjai,Pm,😌,pm,1,10,,,,,
Summer exchange 有嘢想問,🐔,就算依家話有f2f都大機會轉virtual啦連9月都唔知去唔去到,🐔,其實都要睇返疫情啦,🕴,但係冇學校subsidies 去遠啲都冇可能,2,24,,,,,
肯成個sem全online未,🌭,我仲要係self finance ，勁貴，唉，zoom都算啦，個老師唔識用zoom,🍄,係囉,🍦,珍… zoom 真心嘥我學費🖕🏻,6,29,,,,,
BUSI4006 Section 1 2 Case Stud,🤐,唔該，想問有無人知individual case assignments啲case studies到底喺邊度搵？我望過晒lecture notes and textbook 都唔見有,,,,,,,,,,1,1
GFQR1046 求評+求組,我不是男神,我無 要一齊嗎,💃,S3有冇人仲未有組🥲,QI,yesss,1,37,,,,,
🌝,👳,Pm,😾,"hi, 仲有冇位",,,,,1,2,Isem 2005 section6 求groupmate,,
SU推咗反對疫苗聯署(有link),🙁,Push,👿,Push,👿,Push,16,231,,,,,
係唔係考完嗰個￼,😶,唔洗 不過要同人搶報名 10mins內就full,🙊,使唔使錢,💂,Yes ah,1,5,,,,,
有冇得提早withdrawal 個course,🍓,你又知嘅,🍱,French?,🍓,語言科嚟,1,7,,,,,
⛄️,🌰,你要個邊pass 哂5科先唔會defer,🍱,會唔會話如果year 4 sem1去但Miss jor ho dor 揾工機會,🐞,Senior入year 4 sem1去唔洗defer（翻嚟tran 5科）,1,6,,,Senior year entry exchange,,
Bu最好用嘅廁所,😝,the one near starbucks,😷,真！！,😇,CVA真係幾乾淨,2,24,,,,,
acct2006 asm,🌬,佢俾啲題目同堂上嗰啲好唔同 有冇人一齊討論下,,,,,,,,,,1,1
有冇人讀梗or讀過 smart decision,🐝,pm,🐝,pm,🐺,pm😢,5,47,,,,,
Bu訪客,🤕,問保安*,🤕,真係唔sure就直接門口保安,🤕,無錯 我都係咁帶人入嚟,2,8,,,,,
GFHC1045跪求group mate,🐅,Oic thxxxx,🍻,啱啱睇sir已經幫晒人分組…,🌹,岩岩睇過佢會 assign,1,4,,,,,
online till 19 Feb,🐃,就係呢樣,🐃,啲字勁細,🐃,但係呢⋯⋯佢唔係全螢幕模式，佢變咗演講模式，即係一版PowerPoint 分開咗兩版,1,35,,,,,
GFHC1045 groupmate,🐏,我俾阿Sir assigned 入人哋個組,🍯,我頭先都發現原來已經分曬🥲,🐗,我已經揾到組，齊人啦,3,26,,,,,
Gfhc1055 揾好group mate,🐠,希望揾到想一齊拎靚grade嘅groupmate,,,,,,,,,,1,1
💁,😈,阿Sir幫我哋分咗組……,😇,請問下仲有冇組可以收留我？🙏🏻🙏🏻,🎉,開咗,2,31,,,GFHC1045 section2 揾gp mate,,
Bu,☺️,Bu,,,,,,,,,,1,1
Hist 3405問題,🙁,唔該晒咁多位,😸,係啊,🙎,Dr Li Kin Sum,1,7,,,,,
有冇可能hybrid whole semester?,🍫,地球是XGU領先,🦄,HKU online,🦄,📷,4,49,,,,,
邊個exam venue最好？,😐,AAB過對面李作權條天橋望落去運動場個邊會見到,😐,shsh成個DSE考場咁,🤐,未去過shsh,1,6,,,,,
大英Victoria好唔好🥶,🐫,Grade 唔錯,🐫,好人～ 你可以交前俾你份asm 叫佢俾comment,😦,覺得幾好人🤣幾nice,2,3,,,,,
GFHC1045 section 2 搵gpmate (2),🤒,請問下仲有冇組可以收留我？🙏🏻🙏🏻,🐃,Pm?,😤,hi,1,5,,,,,
想問有冇中文系人上過元豐堂 覺得點？,🍠,"已Grad, 覺得好唔錯, 上過佢文學概論",😚,佢教得好不過教嘅嘢幾難，但係你會學到有用嘅嘢,Hungry233,利申中文系嘅，你如果鍾意西方文學同女性文學，而且積極主動嘅，你會鍾意佢，但呢方面唔係好掂嘅最好唔好上佢嘅，手緊,1,9,,,,,
尋FINE2005 Section4 groupmate,😕,ok,🐵,Pm🙏,😕,差兩個🙏🏼,1,3,,,,,
4Soc咩事,🤒,就算真係唔夠人都係組臨委㗎啫,😵,咁搞法會唔會成個Soc 冇咗㗎,,,,,2,23,,,
新年快樂,🍛,先虎後甜！,🤖,虎海無涯,💁,新年進步！🥳,2,7,,,,,
新年假得1-3號？,😑,可能有人借其他人account,👻,https://ar.hkbu.edu.hk/f/upload/3674/Academic_Calendar_2021-22__2021.5.25_.pdf,👻,其實就咁google hkbu academic calendar就揾到…,1,12,,,,,
Gtsu2026今日冇堂？,🦀,咩,🦀,唉 睇academic calendar 啦中學停課要出通告提你,hopeusuffer,Oh my god仲send jor email問佢,1,8,,,,,
浸報並非因武漢肺炎四字被撤回,😲,去到今時今日，都仲唔知個遊戲係點。話知你自劃紅線，用取巧手法去做你心中嘅公民意志。政府點都會搞你,😅,媒體仲有咩生存空間可言？政治 社會 文化議題，唔符合政府立場就可以用法律壓你，重則蘋果、立場遭滅門之災；輕則開始自我審查。無人care文章內文係咪客觀探討議題，看客淨係care係咪犯法食下花生；唔妥就向國安舉報。所有人都關注係咪犯法，又有邊個真係在意過條法例根本就係有問題？自我審查，自我審查。當傳媒淪為沉默幫兇，新聞機構日後自我審查成常態，淪為「正確思想」傳聲筒。係呢個時代最大的悲哀。如果連真實資訊傳遞因與政權立場相悖，就不被允許。咁，傳媒存在的意義又何在？,😅,只要佢鍾意 周圍處處都係紅線 想搞鳩你 你寫咩都係罪,1,7,,,,,
有冇人仲堅持緊唔打針？,🐲,堅持啊,🙉,.,😌,有！唔打咪唔打！,2,18,,,,,
有冇人試過gpa出錯/入錯分？,🕵,咁你要等下,🐺,同咗AA講 佢話已經通知咗programme team,🕵,咁你有冇同AR申請appeal,1,9,,,,,
記者師兄求救：有冇人收到email,😚,有,😀,"呢篇嘅全文：The National Security Law Education (NSLE0001) has become a graduation requirement for undergraduate degree student of 2021 intake or later. In order to fulfill the requirement, student will be required to attend a 2-hour face-to-face lecture, to complete 2-hour assigned reading materials and the quiz are available at HKBU Moodle. Only a pass or a fail will be graded.",😀,啱啱畢業收唔到！如果有可以貼上嚟嘛唔該晒！,1,4,,,,,
浸大編委總辭,😨,"無講過，無得fact check , 所以兩邊都唔應該信",🍖,最大機會係因為果幅相而被要求收回所有浸報,🍖,同埋入面其中一幅相,5,33,,,,,
想問有冇人報過social work master🙏🏻,😒,咁癲🥲gpa咁高又有獎學金,👼,"Msg from her: Canadian uni psych 3.8/4, US master 3.92/4, 唔同獎學金, research assistant since year 2… ft work at hku social work dept for >1 year still working nowww… 之前有experience with 智障小朋友、癌症病人、homeless 媽媽同bb、釋囚同小朋友照顧者⋯ toefl 118",👼,有朋友今年有報cu,3,4,,,,,
有冇同學係讀中醫/Marketing想做下pt?,🤗,Mkt有意,Busi,係合作做個Poject ，想搵一位中醫同學俾少少意見咁一齊Join，個project 拎到Fund ，會一齊分,😪,ig 中醫騙局https://lih.kg/2387914- 分享自 LIHKG 討論區呢啲？,1,9,,,,,
🐿,🍉,想去邊？,🐦,有興趣呀！,🍉,Yes,3,16,,,有無人對backpacker learning有興趣,,
🍂,🐺,Ching，喺zoom 嘅chat room到問啦！唔係嗰個都會睇goop！,🍷,有冇組可以收留我🥲唔識人又淨係可以上Zoom,,,,,3,,SOWK1005 section 尋groupmate,,
Summer exchange 去台灣,😥,點柒同串法？,🍚,Ic🤣,gonjai,安排又柒 個coordinator 又串 最後冇去到,2,5,,,,,
isem2006 groupmates🙏,係咩,S1 爭一個！,真毒肥仔,仲差兩個人！,真毒肥仔,31/1要交group list了 仲有冇人join呀🥸,2,17,,,,,
🤖,👦,我哋仲有一個位㗎 手快有手慢冇呀🤣,👦,31/1交group list啦 仲有冇人呀🥲,👦,仲有冇人join呀🥲 仲有2個位呀,1,6,,,ISEM2006 Section 1 求group mate,,
急！MKTG2005 session 4搵groupmate,💩,MKTG2005 session 4搵groupmate!!!,,,,,,,,,,1,1
Prad2005 Section 1 Groupmates!,🐡,我pm唔到你😭,🌴,+,,,,,2,2,,,
GTSU2046 求groupmate～～～,👷,我係Section 2果班 (Thurs afternoon)依家我地一組已經有4個求多一至兩位groupmatesAim A range既～～有意者pm小弟啦😊大家齊齊考好grade💪🏼💪🏼！,,,,,,,,,,3,1
GTSU2037 s1 group pj,🍠,PUSH,🍠,push,🍠,push,1,11,,,,,
🌸,🐄,Hi,🐙,仲有冇位？😂,🐄,Pm~,1,5,,,Busi2005 s1 groupmate 🙋🏻‍♀️,,
GFHC1046 s3 Group Project,👺,Push……,👺,Push,👺,Push🙏🏻,1,4,,,,,
🐿,🍥,有冇人都係自己讀未有組🙃,,,,,,,,,GFQR1026 section2 groupmates,1,1
⛄️,Mmmaaa,你地組仲差人嗎,Nonstop,2,Nonstop,2,1,5,,,FINE 2005 Section 3 搵隊友,,
🌹,👼,anyone looking for grpmates? i'm from section 1 (friday class),💂,有冇人讀過？,💂,同問,1,4,,,GTSU 2037 Sustainability,,
🌞,👧,Real,🐮,好悶,👧,聽佢講書聽到就嚟瞓着🥱🥱🥱,1,11,,,有冇讀緊/讀過SOCI 2047 HK Society?,,
求hist3305 grpmate🥲,👷,Push,,,,,,,,,,1,1
有冇人讀Hist3305！求grpmate😆,🦂,同左你say hello啦🤣,🐎,好似pm唔到😢,🦂,Pm😆😆,2,5,,,,,
hist3106 Current issue搵隊友,🐌,Pm?,🐌,我呢度都有兩個🙏,🍿,已經有兩個人 希望搵到組收留🙏🏻,1,3,,,,,
GTSC2046,🙇,星期二,🤐,星期二or星期四,🤐,session 1 姐係？,1,31,,,,,
Gtsc2006有冇人form group,🐍,有冇人,,,,,,,,,,1,1
☠,🍯,佢冇覆⋯⋯🥲🥲🥲,👾,其實就可以問返professor,🍯,唉救命 啱啱add咗呢科，今日prof send email話要交assm，想問下有冇人都係讀呢科跟住上兩個星期有咩assm？🥲🥲🥲,1,3,,,GTSU2045 Assm,,
有讀Gcap 3085中華文化在社區嘅同學請入,🍓,原來係咁，因為我係最後先reg所以miss左啲堂，唔該晒你🙏🙏☺️,😶,平時導修唔洗上  個老師係諗住比我地用呢啲時間做資料蒐集最後一堂導修嘅反思活動就一定要上 逢親有活動嘅星期嘅導修都唔洗上,🍓,想問一下tutorial係幾時先上？因為我見今日有導修但冇上堂link，所以有啲困惑🙏🙏🙏,1,2,,,,,
Gfvm1036 happiness 搵隊友,💂,有冇隊友,傻仔傻仔,一齊討論？,傻仔傻仔,Pm?,1,7,,,,,
買左書法紙嘅人入一入黎啊😅,SYE,我想夾哂2款紙🥳🙏🏻,Alyat,可以夾雲龍紙，pm me~,😸,係喎 唔記得同你講翻聲 我轉咗去另一個section 啲紙唔啱用啦 Sorry😿,1,4,,,,,
COMM轉concentration,🙍,可唔可以pm 你,🙍,各位師兄姐們，我中研想tran comm😭😭 有冇機會,moonsunluv,多謝師姐/師兄咁熱心😭不過有啲位想再詳細請教下 想問你介唔介意pm,3,11,,,,,
🌚,8888kk,求問tran科 ，洗唔洗sit 堂？/email 果個系嘅head？,🍓,oop真係on9 讀L到成隻狗咁,🍥,"捱過咗oop之後sem2會好好多, btw yr3唔想chur就唔好揀CST",6,41,,,有無人讀CS 想rejupas 或者tran科 求意見,,
Econ1006 grpmate,🤐,Ok,清野菜名好打得,Pm?,🤐,推,1,11,,,,,
有冇人讀GTCU2027 招groupmates,🍊,Hi,🍊,Pm,🐤,Hi 未有gpmate😢,1,3,,,,,
isem2006隊友,🍸,Pm?,🍆,推,🍆,如題,1,3,,,,,
busi1006(section4) groupmate?,🍪,招groupmates!,,,,,,,,,,1,1
Gtsu2026,😑,招groupmate交流下，互相提醒。,,,,,,,,,,1,
GFHC1055,,,,,,,,,,,,,
大學公布全online了,🍿,just a flu,😉,main library 以外嘅所有圖書館全部關閉,😉,大家留意email啦,2,4,,,,,
扶￼￼￼青個電腦袋係咪諗住走數,💂,雖然係垃圾，都唔可以冇曬音認🥲,Nsnsns,要唔要都罷 個袋垃圾到用第二個星期已經頂唔順掉咗,💂,係,1,5,,,,,
GTSU2027 groupmates,😗,Hi 邊個section?,🌚,如題,,,,,1,3,,,
LLAW3007上左2堂Law唔知聽緊咩🤷‍♀️,🍆,要睇教果個係邊個，Eliza好似好啲,🌵,3007咁淺都搞唔掂😂後面大把伏科,🍆,呢科好似 BBA 必讀,2,5,,,,,
virtual exchange,🐎,暑假 online exchange  有用咩,,,,,,,,,,1,1
Sem2 派咗Zhou7，想調任何其他hall,🐪,：pm,🐪,Pm,👺,推一推,4,,,,,,
ISEM 3027,🎂,Pm,😼,放咗未 想要,🎂,有冇人想要reg isem 3027?可放,1,3,,,,,
有冇人讀過mktg4015 sales management,🍜,呢科伏唔伏？,,,,,,,,,,1,1
求TRAN1005/TRAN2006/TRAN2025 🙏,🐻,如題🙏🏻感激🙏🏻,,,,,,,,,,1,1
出咗scholarship result,🌺,你指咩？,🌞,點解咁講😂,🌺,Email,3,5,,,,,
🙈,🍪,Pm咗你！,🤑,Yess,🍪,你都係11點半個section？tgt？,1,6,,,POLS1005 grpmates👋🏻,,
bu degree對於工作，其實係咪真係冇用。。。,😅,so 4 years in BU is not completely useless lol,😅,"just get president honor roll for your whole 4 yrs of uni, do good internships, have good language skills, have fancy resumes and be smart enough lol then the reputation does not really matter lol",😅,this is so true,3,22,,,,,
中醫GTSC2025 難唔難,🙁,天朝reg！🥳,😷,依家有兩個位啦 快啲去reg啦,😷,係😂😂😂😂,2,22,,,,,
Add drop接放區,👰,del post la,maybett,LANG1026 section 6 change 16!!! Pls!,😒,UCHL1057 section00004想換00002,2,5,,,,,
GEOG3006 gp project,👹,係咪星期一要group好 大家返唔返去上,,,,,,,,,,1,1
有冇人一齊摺拉把溫書？,🌱,返去擁抱omicron ?,😁,依家開始都差唔多啦,🌱,過咗年先,3,9,,,,,
"有無人知VA既Mr Lau, Tin Ming Email?",👦,星期四有1個位,🌝,問左tm 無覆,😌,btw 想問問依家有冇人係星期五 s4㗎？😆,2,105,,,,,
🌞,🌭,好老師黎 學到野 自問中文唔差 a-,🐁,真心學到嘢令我對中文有返興趣同埋佢會講學習以外嘅事 eg 佢之前啲人生故事 提點下我地做人要點至少係我少數唔會抗拒上嘅堂不過得b dse 4,😣,"DSE作文4,A-",2,22,,,大中朱xx自稱killer,,
ISEM 4036 cybersecurity 組grp,🍶,Good!,🐯,pm?,🍶,"Hello, 搵緊cyber security 既grp mate!!",2,3,,,,,
humn1006,👹,岩岩add入去🙏🙏,👹,組隊,,,,,1,2,,,
🦄,🌛,Push,🌛,pushhhh,😍,hah,1,7,,,BUSI4006 s3 group pj,,
GTSC2065 求隊友😭,😐,我見佢有嗰group discussion 20% 睇嚟我get錯咗係group project?🙈😂,😲,請問grpmate係for咩㗎，第一堂未add呢科冇上到堂🥲,😐,如題 求gpmate🙏🏻🥲😭,1,3,,,,,
Acct1006 s1 求組,🐔,push,🐔,我宜家有兩個人,,,,,1,2,,,
POLS1005 搵gpmates‼️,😜,我dm咗你啊～你睇下！,🍢,如果要加入，我要如何聯絡您?,🍢,我想如入，有冇空餘名額?,3,5,,,,,
有冇Gtsc2007想thu轉fri㗎🥺,Hthndd,推,,,,,,,,,,2,1
有冇方法 Smuggle 入去 Campus （PM）,🙀,true,🍍,Want know too,🙀,push,3,4,,,,,
有冇人讀過gtcu2015？,🙄,靚唔靚grade？,,,,,,,,,,1,1
Gtsc2045好唔好讀,⛹,Ok 唔該曬,🙀,唔take,⛹,我想問佢take唔take attendance,1,9,,,,,
GTCU2026評價,🐮,想問下你哋個時讀 係邊個教👀,🙊,最好每個人都參與啦，我個陣喺大家都一齊錄音唱歌😂😂,👰,係咪要唱埋？,1,8,,,,,
🌱,😣,留名等feedback,🎉,有無人一組？,,,,,1,2,搵 HIST3307 groupmate,,
求zoom補習地方,🍯,邊度有得book？搵唔到,🌰,其實你一個人係入面都冇人管你 隨便book,🐿,3樓嗰兩個金魚缸應該得，佢可以book，但唔知限唔限人數,2,4,,,,,
有冇人入到GFVM1027 zoom?,🐫,開左 Zoom meeting,🐭,咁奇怪又唔講,😗,收到佢email話會9.30開始上,2,9,,,,,
Anyone MKTG3015 Wed section?,🐧,pm,🐲,呢科好似好多嘢做,,,,,1,2,,,
有冇 BUDA GE 花生,🍬,笑死 10個有8個係gay/偏女性,🐘,戇鳩 又係度鳩吹,🌸,真,6,20,,,,,
FILM 2037 伏唔伏？,Chieeee,想知道呢個Course d prof. kill 唔kill ？,,,,,,,,,,1,1
gtsu2046有人組隊嗎？,Chieeee,想知🙌🏻🙏🏻,🍭,想知+1🙏🏻🙏🏻,🙈,想問下：呢科有冇涉及關於計數嘅嘢？見到有好多 discussion，係咪要好active答問題？thanks🙏🏻🙏🏻🙏🏻,2,10,,,,,
大英 Vicky 係咪好伏🥲🥲 ￼UCLC1009,🍕,佢好好人架 教書有heart,🍪,"上堂要你留心答問題，真係學到野Vicky只能話跟足marking scheme黎改asm, 你只要正正常常點都會有B+, 好多人自己做得差爛grade就寫衰&投訴vm，講真係有啲過分",🐱,佢幾nice 其實你肯跟佢嘢做 就冇問題 不過佢係要f2f 煩d,1,3,,,,,
Gtsu2055 section 2 分組,🦂,有冇人未有組啊,,,,,,,,,,1,1
🀄,gonjai,有興,🐺,有興,🙉,有興,2,6,,,bu有冇人玩poker😂,,
BUSI2035 Entrepreneurship 好讀？,🎍,用最少effort就係呢科 全部嘢都係尻up出嚟,🐔,唔係compulsory就唔好reg呢科 唔知自己學咗啲咩,👾,真係好伏。。,1,9,,,,,
BU有咩上zoom嘅好地方￼,🍈,大概 金魚缸,🤑,Lm 想知,,,,,1,2,,,
Busi2005伏唔伏,😍,Busi2005伏唔伏🙏🏻有冇邊個lecturer冇咁kill,,,,,,,,,,1,1
想問下isem fyp要做啲咩🥲,🍐,我pm你啦 你睇下信息到 要accept,🍱,點pm😂,🍐,同問 可以pm 傾下？,1,3,,,,,
🌞,😾,遲啲可能lateral flow 都唔使做,😾,我應該四月中左右 想去冰島/挪威😂,🐔,取消左啦 pcr睇唔同地方 完全唔同收費,1,9,,,英國 Sem 2 Exchange 旅行PCR討論,,
日文4星期三下晝換上晝section🥲🙏🏻,,,,,,,,,,,,,
收totem2,🍫,放幾錢？,🍫,放幾錢？,🐘,我有,1,4,,,,,
🙌,😱,thank you 🙏🏻🙏🏻🙏🏻🙏🏻,NTelson,lydialst@hkbu.edu.hk,😱,🙏🏻🙏🏻🙏🏻🙏🏻,1,4,,,有冇人有dr.lam lai sin ting email?,,
想搵GCAP3205 grpmate🥲,😤,推🥲🥲我一個人,😤,有冇人未有組,,,,,1,2,,,
有冇人放GFQR1047,🐘,感謝,,,,,,,,,,1,1
GFQR1046 wed 1430-1720 搵組員,🐮,仲有位？我1個人～,🌷,我哋依家有2個人，有冇人join～,,,,,1,2,,,
Fine3005大家咩grade,😙,Hello 唔該可唔可以問多少少嘢，pm ok ma?,😙,多謝你講咁多,🍋,覺得billy未必係冇料嘅 但就唔太識教書 一開頭講到自己好harsh 但最後都還好嘅 只要你接受到佢不斷用一個當自己係老闆而你係intern嘅態度 佢assignment講得唔算清晰 到最後都係要上網揾點做 同埋要比錢玩stock trade game 計分嘅 以上講嘅兩樣我都好似係b+/b 但mt我炒左嘅 不過嗰陣佢show個grade係冇拉curve直接按分比grade 我見應該有一半人都f嘅 所以都有啲人drop左 但最後佢加埋exam個final grade係拉curve嘅所以都唔差 我最後b+唔會好推薦 但都唔係好差嘅,2,9,,,,,
有冇人成功Defer,😗,想問下ching 係差9cred但defer一年？,😇,唔該哂,🐽,但咁啱我defer嗰年唔使俾錢，因為佢話肺炎同社運搞到我嗰屆要defer所以唔使俾😳,3,41,,,,,
延遲畢業學費點樣計？,👨,咁點defer去exchange？🤔有冇人試過/有frd試過 想知多啲🙏🏼 麻煩了,👮,好似做咗Hon Pro 就冇得exchange?,🍀,你宜家year 4? 想year 5去exchange 唔係要前一年報咩(即係上兩個月要報),2,8,,,,,
sci fac有冇靚女？,😀,Jasmine!!!,😊,Pm 睇睇🤫,🐏,支棍5cm？,54,102,,,,,
有冇人知BUSI2035 Wong yik man 點,👿,C+,😈,"i had him when i was in year 2, he is a demanding person but if you can give the right answer to him, then he'll give you a good grade. I was so scared too coz everyone said he's a killer but I ended up getting A- lol so it really depends. But you really need to work hard coz he has high expectations",🐛,呢科workload 好似好大😭,1,10,,,,,
🌚,🐁,都可以傾下 識多個人🤣,🐅,3！,,,,,1,5,Lang1006 畢業要求普通話,,
uchl1057 change section,🍶,依家星期一想轉星期五please pm,,,,,,,,,,1,1
放書法畫紙～～,🙎,有淨皮單宣同麻紙~~有意pm🙊,,,,,,,,,,1,1
Student copy transcript,👴,Thanks a lot,🍚,你上去office叫佢出一張，既刻會有，一張$50,🍄,搭單問🙏🏻,1,4,,,,,
收LANG 2007,5838,🥲,🍮,急要！！,🍮,推！,1,7,,,,,
llaw3007,🍤,直接email啦 喺度講有咩用,👩,有冇人有zoom link😅一陣上堂但係佢冇擺出嚟,,,,,1,2,,,
hist1105 分組,🍚,有冇人冇未分組既🥲,,,,,,,,,,1,1
UCPN1005 section 25轉12🙏🏻,🍣,如題🥲有冇人想😉,,,,,,,,,,1,1
JPSE 2 Section 6 zoom/ ftf,😯,有冇section 6嘅朋友知道呢堂有冇zoom link？定還是一定要ftf？🙏,,,,,,,,,,1,1
想統計下聽日幾多人上zoom,😞,email講到明all course mixed mode架嘛 如果佢地唔俾既話其實可以投訴,🌬,佢拉低口罩講嘢，勁恐怖囉,🌬,個lecturer 唔戴口罩,2,9,,,,,
🌝,😍,超nice！比grade都好好（佢好睇你上唔上心😂）,🐕,佢好nice 比grade我覺得正常Dse 英文4 攞B+,🍙,人nice 比grade有啲啲緊,1,4,,,有冇人知大英Jenny  jae hee choe 點,,
appeal係咪要同學校申請？,💃,🙏🏻🙏🏻thank u,👰,想問下ar appeal要點做 都係填form定直接send email？,🍛,No need,1,20,,,,,
JOUR3137搵groupmate,👮,Send email同Alice講啦,😕,有冇組仲差人，或者願意加多個人🥺星期三先add drop入去，今日先知分咗組🥺,,,,,2,2,,,
isem2006 搵groupmates,😔,push,😔,section2,😔,如題,1,3,,,,,
GFQR1047 00001 換00002,👳,我係00001 class,,,,,,,,,,1,2
Gfhc1036 轉section,🍟,有1 換3 🉐️唔🉐️3,🍟,有1 換3 🉐️唔🉐️？,👶,可唔可以換2？,1,4,,,,,
Isem2005/2006好唔好讀,🍶,2005入門ok,☺️,如題 感謝🙏,,,,,2,,,,
GFQR1027伏唔伏？,👸,好～thanks for your opinion!,🙉,老師好好人，肯教！workload 好大，但學到嘢利申A,😐,上sem讀2quiz 一個高分一個合格每堂都有lab要做 prof好好人 一定教到識50% final  project 同freerider一組 唯有自己做咗八成最後A-老師好 啲嘢難度一般,1,4,,,,,
ECON1006 伏唔伏？,Tung14,但如果你有讀過DSE ECON no worries,Tung14,如果你ECON major呢科教唔甩,Tung14,Ryan 或者Raymond 教都好,1,4,,,,,
求 UCHL 1057！可用UCHL1045換+薄酬,😈,Yr 4最後一個sem想讀埋😭,,,,,,,,,,1,1
求GTCU2046 section 1 $1000,💣,希望有人放,💣,🙏🏻🙏🏻🙏🏻,,,,,1,2,,,
😭😭有冇人肯放CHIL3026 （有酬！！！,😄,中文😩,🌮,我都係 minor 中文 差呢3cred 😭,🌮,你minor 中文定cpw,1,20,,,,,
有冇老師冇俾zoom link上堂，要返學校上？,😷,珍世一,Tung14,余最好 利申A,🍬,余兄 世一,1,18,,,,,
老老實實 想tran u嘅入黎,😗,啊哈 明白曬啦,🐶,正解！另外補充下點解Tranu好難，呢點同錢有關。UGC本身會資助Local學生讀大學（所以大家交嘅學費比較平，對比international students )。如果你tranu 嘅話，UGC就講明唔會資助你係新嘅大學讀書，所以新大學想收你嘅話，變相要自己出錢資助你部分嘅學費。因為呢點，大家先會話Tran U好難 (Even yr 1),,,,,4,36,,,
有冇GCAP3126 嘅buddy?,田原蛋白炒飯,未講,🐺,要form group未？因為我啱啱 add drop入左黎同埋想問吓個workload大約係點？,👸,今個sem reg左 唔知伏唔伏 🙃,1,6,,,,,
